Chương 3. Căn bậc hai và căn bậc ba · lớp 9 · 23 dạng · 474 câu


### [1] Bài 1. Căn bậc hai và căn thức bậc hai | Ứng dụng thực tế của căn bậc hai (37)
    yêu cầu: Giải quyết được một số vấn đề thực tiễn liên quan đến căn bậc hai (độ dài, diện tích, tốc độ, công thức vật lí).
  tp2l TL 3 | Rút gọn các biểu thức sau: f) F = \frac{2}{2a - 1}\sqrt{5a^2(1 - 4a + 4a^2)}
  k2bh TL 3 | Trục căn thức ở mẫu rồi rút gọn: b) \sqrt{\frac{2 - \sqrt{3}}{2 + \sqrt{3}}}
  32pu TL 3 | Trục căn thức và thực hiện phép tính: a) A = (\frac{15}{\sqrt{6} + 1} + \frac{4}{\sqrt{6} - 2} - \frac{12}{3 -
  7zot TL 3 | Trục căn thức và thực hiện phép tính: b) B = (1 - \frac{5 + \sqrt{5}}{1 + \sqrt{5}})(\frac{5 - \sqrt{5}}{1 - \
  hl7n TL 3 | Thực hiện phép tính: b) B = (\frac{\sqrt{14} - \sqrt{7}}{1 - \sqrt{2}} + \frac{\sqrt{15} - \sqrt{5}}{1 - \sqrt
  u8ho TL 2 | Khử mẫu của mỗi biểu thức dưới dấu căn bậc hai sau: a) \sqrt{\frac{5b}{49a^3}} \ (a > 0, b \ge 0)
  rggx TL 2 | Trục căn thức ở mẫu rồi rút gọn: a) \frac{\sqrt{8}}{\sqrt{5} - \sqrt{3}}
  hlev TL 3 | Chứng minh rằng: \frac{a\sqrt{a} + b\sqrt{b}}{\sqrt{a} + \sqrt{b}} - \sqrt{ab} = (\sqrt{a} - \sqrt{b})^2 \ (a,
  u9af TL 3 | Chứng minh rằng: \frac{\sqrt{a}}{\sqrt{a} - \sqrt{b}} - \frac{\sqrt{b}}{\sqrt{a} + \sqrt{b}} = \frac{a + b}{a 
  cu6f TL 2 | Khử mẫu của mỗi biểu thức dưới dấu căn bậc hai sau: b) 7xy\sqrt{\frac{-3}{xy}} \ (x < 0; y > 0)
  haz5 TL 2 | Khử mẫu của mỗi biểu thức dưới dấu căn bậc hai sau: b) \frac{-1}{4}ab\sqrt{\frac{16}{ab}} \ (a < 0, b < 0)
  54ay TL 2 | Trục căn thức ở mẫu và rút gọn: a) \frac{1}{2\sqrt{2} - 3\sqrt{3}}
  qyls TL 2 | Tính b) \sqrt{3 + \sqrt{5}} - \sqrt{3 - \sqrt{5}} - \sqrt{2}
  ubxt TL 2 | Rút gọn a \cdot \sqrt{\frac{2}{a^2}} (a > 0).
  zl5t TL 1 | Viết số dưới dấu căn thành một phân số thập phân rồi tính \sqrt{1,69}.
  64y5 TL 1 | Tính \sqrt{18} : \sqrt{50}.
  w67w TL 1 | Tính: \sqrt{99} : \sqrt{11}.
  jhiq TL 1 | Tính: \sqrt{7,84}.
  nkvi TL 1 | Tính: \sqrt{1815} : \sqrt{15}.
  epfl TL 2 | Thực hiện phép tính: b) \frac{-3\sqrt{18} + 5\sqrt{50} - \sqrt{128}}{7\sqrt{2}}
  xbc2 TL 1 | Tính: \sqrt{\frac{4}{49}}
  aqtk TL 2 | Tính giá trị của biểu thức sau: D = 75 : \sqrt{3^2 + (-4)^2} - 3\sqrt{(-5)^2} - 3^2
  ed7i TL 2 | Tính giá trị của biểu thức sau: C = (\sqrt{0,04} - \sqrt{(-1,2)^2} + \sqrt{121}) \sqrt{81}
  5qhg TL 2 | Tính giá trị của các biểu thức sau: B = -4\sqrt{\frac{-25}{-16}} + 5\sqrt{\frac{-9}{25}}
  sbkb TL 2 | Tính giá trị của các biểu thức sau: D = \frac{1}{2}\sqrt{\frac{4}{9}} - \frac{2}{5}\sqrt{\frac{25}{16}}
  gj0h TL 2 | Rút gọn A = \frac{\sqrt{10} - \sqrt{15}}{\sqrt{8} - \sqrt{12}}
  q9pu TL 2 | Rút gọn B = \frac{\sqrt{6} - \sqrt{15}}{\sqrt{35} - \sqrt{14}}
  vhu8 TL 3 | Rút gọn D = \frac{\sqrt{15} - \sqrt{5}}{\sqrt{3} - 1} + \frac{5 - 2\sqrt{5}}{2\sqrt{5} - 4}
  o60j TL 2 | Rút gọn C = \frac{5 + \sqrt{5}}{\sqrt{10} + \sqrt{2}}
  6lfo TL 2 | Rút gọn các biểu thức sau: A = \frac{\sqrt{6} + \sqrt{14}}{2\sqrt{3} + \sqrt{28}}
  meu7 TL 2 | Rút gọn các biểu thức sau: B = \frac{\sqrt{2} + \sqrt{3} + \sqrt{6} + \sqrt{8} + 4}{\sqrt{2} + \sqrt{3} + \sqr
  n2kx TL 3 | Rút gọn biểu thức sau: B = \frac{2\sqrt{15} - 2\sqrt{10} + \sqrt{6} - 3}{2\sqrt{5} - 2\sqrt{10} - \sqrt{3} + \
  76uk TL 2 | Tính (\sqrt{\frac{1}{7}} - \sqrt{\frac{16}{7}} + \sqrt{7}) : \sqrt{7}
  08gq TL 2 | Tính \sqrt{36 - 12\sqrt{5}} : \sqrt{6}
  lg1n TL 2 | Tính (\sqrt{\frac{1}{3}} - \sqrt{\frac{4}{3}} + \sqrt{3}) : \sqrt{3}
  oogm TL 2 | Tính \sqrt{3 - \sqrt{5}} : \sqrt{2}
  vghq TL 2 | Tính A = (\sqrt{12} + \sqrt{75} + \sqrt{27}) : \sqrt{15}
  rn0v TL 1 | Tính \sqrt{\frac{25}{64}}
  mplm TL 1 | Tính \sqrt{1\frac{9}{16}}
  m4d0 TL 2 | Thực hiện phép tính B = (\sqrt{325} - \sqrt{117} + 2\sqrt{208}) : \sqrt{13}
  7kqm TL 2 | Tính B = (\sqrt{12} - 2\sqrt{18}) \cdot \frac{\sqrt{2}}{2}
  a3tf TL 3 | Tính C = (\frac{1 - \sqrt{2}}{1 + \sqrt{2}} - \frac{1 + \sqrt{2}}{1 - \sqrt{2}}) : \sqrt{72}
  s8bb TL 3 | Tính D = (\frac{1}{\sqrt{3} - 2} - \frac{1}{\sqrt{3} + 2}) \cdot \frac{2 - \sqrt{2}}{1 - \sqrt{2}}
  te1z TL 1 | Tính \frac{\sqrt{230}}{\sqrt{2,3}}
  5tfv TL 2 | Khử mẫu của mỗi biểu thức dưới dấu căn bậc hai sau: a) \sqrt{\frac{5x^3}{49y}} \ (x \ge 0; y > 0)
  qyu2 TL 3 | Rút gọn các biểu thức sau: A = 4\sqrt{x} - \frac{(x + 6\sqrt{x} + 9)(\sqrt{x} - 3)}{x - 9} \ (0 \le x; x \ne 9
  zzar TL 3 | Rút gọn các biểu thức sau: d) D = \frac{\sqrt{3}}{\sqrt{\sqrt{3} + 1} - 1} - \frac{\sqrt{3}}{\sqrt{\sqrt{3} + 
  t9yh TL 3 | Rút gọn các biểu thức sau: e) E = \frac{3}{2(2x - 1)}\sqrt{8x^4(4x^2 - 2x + 1)} LƯU Ý: Đề bài bị lỗi in ấn, sử
  n69p TL 3 | Thực hiện phép tính: a) A = (\frac{2}{\sqrt{3} - 1} + \frac{3}{\sqrt{3} - 2} + \frac{15}{3 - \sqrt{3}}) \cdot 
  22ui TL 2 | Thực hiện phép tính A = \sqrt{1,6} \cdot \sqrt{250} + \sqrt{19,6} : \sqrt{4,9}
  b1mr TL 2 | Rút gọn \sqrt{16ab^2} : \sqrt{4a} (với a > 0, b < 0).
  v935 TL 2 | Thực hiện phép tính A = (20\sqrt{300} - 15\sqrt{675} + 5\sqrt{75}) : \sqrt{15}
  6ih3 TL 1 | Tính \frac{\sqrt{12,5}}{\sqrt{0,5}}
  etka TL 3 | Thực hiện các phép tính a) A = 5\sqrt{x} - \frac{(x - 10\sqrt{x} + 25)(\sqrt{x} + 5)}{x - 25} \ (0 \le x \ne 2
  e72u TL 3 | Chứng minh rằng: \frac{(a\sqrt{b} + b)(\sqrt{a} + \sqrt{b})}{a - b} \sqrt{\frac{ab + b^2 - 2\sqrt{ab^3}}{a(a +
  3exa TL 1 | Tính \sqrt{6,25}.
  9cz0 TL 2 | Rút gọn (a^2 - 1) \cdot \sqrt{\frac{5}{(a - 1)^2}} (a > 1).
  ddoc TL 3 | Rút gọn các biểu thức sau: b) B = 4\sqrt{25u} - \frac{15}{2}\sqrt{\frac{16u}{9}} - \frac{2}{u}\sqrt{\frac{169u
  3aol TL 2 | Khử căn thức ở mẫu số các phân số: f) \sqrt{\frac{5 - 2\sqrt{6}}{3}}
  ggzt TL 2 | Tính giá trị của các biểu thức sau: C = \frac{2}{3}\sqrt{81} - \frac{1}{2}\sqrt{16}
  crgj TL 2 | Tính giá trị của biểu thức sau: B = (\sqrt{0,25} - \sqrt{(-15)^2} + \sqrt{2,25}) : \sqrt{169}
  kj23 TL 3 | Rút gọn biểu thức sau: A = \frac{3\sqrt{8} - 2\sqrt{12} + \sqrt{20}}{3\sqrt{18} - 2\sqrt{27} + \sqrt{45}}
  trhj TL 2 | Tính a) \sqrt{2 + \sqrt{3}} - \sqrt{2 - \sqrt{3}}
  ac3k TL 3 | Rút gọn các biểu thức sau: c) C = 5\sqrt{4x} - 3\sqrt{\frac{100x}{9}} - \frac{4}{x}\sqrt{\frac{x^3}{4}} \ (x >
  8amw TL 2 | Tính B = (12\sqrt{50} - 8\sqrt{200} + 7\sqrt{450}) : \sqrt{10}
  0z1a TL 2 | Tính A = (\sqrt{27} - \sqrt{12} + 2\sqrt{6}) : 3\sqrt{3}
  r1cf TL 2 | Tính c) \sqrt{6,5 + \sqrt{12}} + \sqrt{6,5 - \sqrt{12}} + 2\sqrt{6}
  7xfa TL 2 | Thực hiện phép tính B = \sqrt{1\frac{3}{4} \cdot 2\frac{2}{7} \cdot 5\frac{4}{9}}
  w132 TL 3 | Rút gọn biểu thức A = 4\sqrt{\frac{25x}{4}} - \frac{8}{3}\sqrt{\frac{9x}{4}} - \frac{4}{3x}\sqrt{\frac{9x^3}{6
  7dn2 TL 2 | Khử căn thức ở mẫu số các phân số: a) \sqrt{\frac{7}{108}}
  8cq6 TL 2 | Khử căn thức ở mẫu số các phân số: d) \sqrt{\frac{4}{75}}
  9ze2 TL 2 | Khử căn thức ở mẫu số các phân số: e) \sqrt{\frac{3 + 2\sqrt{2}}{2}}
  de60 TL 2 | Trục căn thức ở mẫu và rút gọn: b) \sqrt{\frac{3 - \sqrt{5}}{3 + \sqrt{5}}}
  njtf TL 2 | Rút gọn các biểu thức sau: a) A = \frac{\sqrt{14} - \sqrt{7}}{2 - \sqrt{2}}
  3rj6 TL 3 | Rút gọn các biểu thức sau: b) B = \frac{1}{\sqrt{7 - \sqrt{24}} + 1} - \frac{1}{\sqrt{7 + \sqrt{24}} - 1}
  6e5e TL 3 | Rút gọn các biểu thức sau: c) C = (\frac{15}{\sqrt{6} + 1} + \frac{4}{\sqrt{6} - 2} - \frac{12}{3 - \sqrt{6}})
  3lb8 TL 1 | Khử căn thức ở mẫu số các phân số: b) \sqrt{\frac{5}{6}}
  3h51 TL 1 | Khử căn thức ở mẫu số các phân số: c) \sqrt{\frac{10}{13}}

### [10] Bài 2. Khai căn bậc hai với phép nhân và phép chia | Ứng dụng thực tế của khai căn tích, thương (11)
    yêu cầu: Giải quyết được một số vấn đề thực tiễn cần khai căn một tích hoặc một thương.
  e3iy TL 2 | Trong Vật lí, ta có định luật Joule – Lenz để tính nhiệt lượng toả ra ở dây dẫn khi có dòng điện chạy qua: Q =
  9gi0 TL 2 | Vận tốc m/s của một vật đang bay được cho bởi công thức v = \sqrt{\frac{2E}{m}}, trong đó E là động năng của v
  2d27 TL 3 | Khi một quả bóng rổ được thả xuống, nó sẽ nảy trở lại, nhưng do tiêu hao năng lượng nên nó không đạt được chiề
  xmbq TL 3 | Cho hình hộp chữ nhật có chiều dài \sqrt{12} cm, chiều rộng \sqrt{8} cm, chiều cao \sqrt{6} cm, như hình vẽ. [
  o8os TL 3 | Công suất P (W), hiệu điện thế U (V), điện trở R (\Omega) trong đoạn mạch một chiều liên hệ với nhau theo công
  wg8z TL 2 | Cho hình hộp chữ nhật có chiều dài \sqrt{12} cm, chiều rộng \sqrt{8} cm, chiều cao \sqrt{6} cm, như hình vẽ. [
  vzig TL 3 | Biết rằng hình tam giác và hình chữ nhật ở hình vẽ có diện tích bằng nhau. Tính chiều rộng x của hình chữ nhật
  3q0h TL 2 | Tốc độ gần đúng của một ô tô ngay trước khi đạp phanh được tính theo công thức v = \sqrt{2\lambda gd}, trong đ
  2bn5 TL 2 | Cho hình chữ nhật có chiều rộng a (cm), chiều dài b (cm) và diện tích S (\text{cm}^2). b) Tìm b, biết S = 3\sq
  7505 TL 3 | Từ một tấm thép hình vuông, người thợ cắt ra hai mảnh hình chữ nhật có diện tích lần lượt là 24\text{ cm}^2 và
  os4l TL 2 | Cho hình chữ nhật có chiều rộng a (cm), chiều dài b (cm) và diện tích S (\text{cm}^2). a) Tìm S, biết a = \sqr

### [11] Bài 3. Biến đổi đơn giản và rút gọn biểu thức chứa căn thức bậc hai | Đưa thừa số ra ngoài, vào trong dấu căn (33)
    yêu cầu: Thực hiện được phép đưa thừa số ra ngoài hoặc vào trong dấu căn bậc hai để rút gọn, so sánh biểu thức.
  hrnq TL 2 | Đưa thừa số ra ngoài dấu căn: \sqrt{24a^4b^8} \ (a, b \in {R})
  5j3s TL 2 | Đưa thừa số vào trong dấu căn: \frac{a}{2}\sqrt{\frac{12}{a}} \ (a > 0)
  2p6j TL 2 | Đưa thừa số ra ngoài dấu căn: b) 4\sqrt{3} + \sqrt{27} - \sqrt{45} + \sqrt{5}
  8kzw TL 2 | Đưa thừa số ra ngoài dấu căn: c) \sqrt{6 + 2\sqrt{5}}
  4ta3 TL 2 | Đưa thừa số ra ngoài dấu căn: d) \sqrt{7 - 2\sqrt{10}} + \sqrt{2}
  7epz TL 2 | Tính giá trị các biểu thức sau: a) A = \sqrt{125} + \sqrt{45} - \sqrt{405}
  khvs TL 2 | Tính giá trị các biểu thức sau: b) B = \sqrt{50} - \sqrt{128} + \sqrt{162} - \sqrt{18}
  mnnq TL 2 | Rút gọn các biểu thức sau: a) A = \sqrt{200} - \sqrt{32} + \sqrt{72}
  i6jy TL 1 | Viết gọn các biểu thức sau: b) \sqrt{96 \cdot 125}
  080j TL 1 | Viết gọn các biểu thức sau: a) \sqrt{25 \cdot 90}
  hsvp TL 3 | Rút gọn các biểu thức sau: b) B = \sqrt{\sqrt{5} - \sqrt{3 - \sqrt{29 - 6\sqrt{20}}}}
  bjgx TL 2 | Tính giá trị các biểu thức sau: c) C = \sqrt{63} - \sqrt{252} - \sqrt{343} + \sqrt{175}
  jtbq TL 2 | Rút gọn các biểu thức sau: b) B = 4\sqrt{20} - 3\sqrt{125} + 5\sqrt{45} - 15\sqrt{\frac{1}{5}}
  novz TL 3 | Rút gọn các biểu thức sau: c) C = \sqrt{6 + 2\sqrt{5 - \sqrt{13 + \sqrt{48}}}}
  v3nv TL 3 | Rút gọn các biểu thức sau: d) D = \sqrt{4 + \sqrt{5\sqrt{3} + 5\sqrt{48 - 10\sqrt{7 + 4\sqrt{3}}}}}
  4c5g TL 1 | Viết gọn các biểu thức sau: c) \sqrt{75 \cdot 54}
  87ep TL 1 | Viết gọn các biểu thức sau: d) \sqrt{245 \cdot 35}
  xwva TL 2 | Đưa thừa số vào trong dấu căn: a\sqrt{\frac{-15}{a}} \ (a < 0)
  4fda TL 2 | Đưa thừa số ra ngoài dấu căn: \sqrt{25x^3} \ (x > 0)
  w8gb TL 2 | Đưa thừa số vào trong dấu căn: a\sqrt{2} \ (a \le 0)
  od9e TL 2 | Đưa thừa số ra ngoài dấu căn: \sqrt{48xy^4} \ (x \ge 0; y \in {R})
  1a60 TL 2 | Đưa thừa số ra ngoài dấu căn: \sqrt{-9b^3} \ (b \le 0)
  od6t TL 2 | Đưa thừa số vào trong dấu căn: x\sqrt{7} \ (x \ge 0)
  3vau TL 2 | Đưa thừa số vào trong dấu căn: x\sqrt{15} \ (x \le 0)
  zoz9 TL 2 | Đưa thừa số vào trong dấu căn: \frac{1}{y}\sqrt{19y} \ (y > 0)
  11xv TL 2 | Đưa thừa số vào trong dấu căn: a\sqrt{13} \ (a \ge 0)
  kl8d TL 2 | Đưa thừa số ra ngoài dấu căn: a) \sqrt{45} + \sqrt{20} - \sqrt{245}
  hjyb TL 2 | Tìm x biết: a) \sqrt{25x} = 35 b) \sqrt{4x+20} - 8\sqrt{x+5} + \sqrt{9x+45} = -6
  zxu4 TL 2 | Đưa thừa số vào trong dấu căn: \frac{1}{3}y\sqrt{\frac{27}{y^2}} \ (y \le 0)
  sj39 TL 2 | Đưa thừa số ra ngoài dấu căn: \sqrt{5a^2} \ (a \le 0)
  nq34 TL 2 | Đưa thừa số ra ngoài dấu căn: \sqrt{18a^2} \ (a \ge 0)
  96bt TL 2 | Đưa thừa số ra ngoài dấu căn: \sqrt{27x^2} \ (x \ge 0)
  c273 TL 2 | Đưa thừa số ra ngoài dấu căn: \sqrt{8xy^2} \ (x \ge 0; y \le 0)

### [12] Bài 3. Biến đổi đơn giản và rút gọn biểu thức chứa căn thức bậc hai | Rút gọn biểu thức chứa căn thức bậc hai và tính giá trị (55)
    yêu cầu: Rút gọn được biểu thức chứa căn thức bậc hai (biểu thức số và biểu thức chứa chữ có điều kiện) và tính được giá trị tại giá trị cho trước củ
  ni1e TL 2 | Rút gọn và tính giá trị của biểu thức 2x + \sqrt{9x^2 - 6x + 1} tại x = -1,5.
  29v6 TL 2 | Rút gọn và tính giá trị của biểu thức 3x + \sqrt{16x^2 - 8x + 1} tại x = -1,5.
  2wbe TL 2 | Tính: (2\sqrt{\frac{5}{4}} - 3\sqrt{5} + \sqrt{\frac{9}{5}}) \cdot \sqrt{20}
  bdt4 TL 2 | Tính: (3\sqrt{\frac{2}{9}} - 2\sqrt{2} + \sqrt{\frac{25}{2}}) \cdot \sqrt{18}
  0zjz TL 2 | Khử mẫu của biểu thức lấy căn a) \sqrt{\frac{2a}{3b}} với ab > 0; b) a\sqrt{\frac{2}{5a}} với a > 0; c) 4x\sqr
  kl4g TL 3 | Rút gọn biểu thức P = (\frac{\sqrt{x} - 1}{\sqrt{x} + 1} + \frac{2\sqrt{x}}{\sqrt{x} - 1} - \frac{3\sqrt{x} - 
  u1gn TL 3 | Cho hai biểu thức: A = \frac{2}{\sqrt{x}+2} và B = (\frac{1}{\sqrt{x}-1} + \frac{1}{\sqrt{x}+1}) : \frac{2}{x-
  1zz2 TL 3 | Cho biểu thức C = \frac{\sqrt{2x+2\sqrt{x^2-4}}}{\sqrt{x^2-4}+x+2} với x \neq -2 a) Rút gọn C. b) Tính giá trị
  zynd TL 1 | Trục căn thức ở mẫu các biểu thức sau: a) \frac{2\sqrt{5}}{\sqrt{2}}; b) \frac{10}{3\sqrt{5}}; c) \frac{9}{2\s
  xcz8 TL 2 | Cho biểu thức C = \frac{a}{a-16} - \frac{2}{\sqrt{a}-4} - \frac{2}{\sqrt{a}+4} với a \ge 0, a \neq 16 a) Rút g
  2v1e TL 2 | Rút gọn biểu thức: \frac{\sqrt{a}}{\sqrt{a} - \sqrt{b}} - \frac{\sqrt{b}}{\sqrt{a} + \sqrt{b}} - \frac{2b}{a -
  kttw TL 2 | Chứng minh đẳng thức sau với x > 0, y > 0 và x \ne y. (\frac{x\sqrt{x} + y\sqrt{y}}{\sqrt{x} + \sqrt{y}} - \sq
  xcuq TL 2 | Rút gọn biểu thức sau a) 2\sqrt{\frac{2}{3}} - 4\sqrt{\frac{3}{2}}; b) \frac{5\sqrt{48} - 3\sqrt{27} + 2\sqrt{
  fjgy TL 1 | Khử mẫu của biểu thức lấy căn a) \sqrt{\frac{4}{7}}; b) \sqrt{\frac{3}{5}}; c) \sqrt{\frac{11}{2}}; d) \sqrt{\
  5oz2 TL 2 | Rút gọn biểu thức sau (\frac{\sqrt{22} - \sqrt{11}}{1 - \sqrt{2}} + \frac{\sqrt{21} - \sqrt{7}}{1 - \sqrt{3}})
  0ze3 TL 3 | Cho ba số dương x, y, z thỏa mãn: xy + yz + zx = 1 Tính: A = x\sqrt{\frac{(1 + y^2)(1 + z^2)}{1 + x^2}} + y\sq
  fn9v TL 2 | Đưa thừa số ra ngoài dấu căn a) \sqrt{18x}; b) \sqrt{75x^2y}; c) \sqrt{605x^3y^2}; d) \sqrt{128(x-y)^2}; e) \s
  3dua TL 2 | Trục căn thức ở mẫu a) \frac{x^2 - 1}{\sqrt{x - 1}} với x > 1. b) \frac{a + 1}{\sqrt{2a + 3} - \sqrt{a + 2}} v
  mj7q TL 3 | Cho biểu thức A = \sqrt{\frac{\sqrt{a}-1}{\sqrt{b}+1}} : \sqrt{\frac{\sqrt{b}-1}{\sqrt{a}+1}} a) Rút gọn biểu 
  a9kb TL 2 | Cho biểu thức P = (\frac{1}{\sqrt{x} + 2} - \frac{2}{x + 4\sqrt{x} + 4}) : (\frac{2}{x - 4} - \frac{1}{\sqrt{x
  bhnh TL 2 | Rút gọn các biểu thức sau: a) \sqrt{4,5} - \frac{1}{2}\sqrt{72} + 5\sqrt{\frac{1}{2}}; b) \sqrt{32} - \sqrt{18
  8vqm TL 3 | Rút gọn các biểu thức a) A = \sqrt{1 + \frac{\sqrt{3}}{2}} - \sqrt{1 - \frac{\sqrt{3}}{2}}; b) B = \frac{3}{\s
  2asa TL 2 | Rút gọn các biểu thức sau a) A = \frac{1 + a\sqrt{a}}{a + \sqrt{a}} với a > 0. b) A = 2x\sqrt{16xy^3} + 7\sqrt
  dqg2 TL 2 | Rút gọn biểu thức P = \frac{\sqrt{y}}{\sqrt{xy} - x} - \frac{\sqrt{x}}{y - \sqrt{xy}}.
  fql5 TL 2 | Cho biểu thức P = (\frac{2\sqrt{xy}}{x - y} - \frac{\sqrt{x} + \sqrt{y}}{2\sqrt{x} - 2\sqrt{y}}) \cdot \frac{2
  u5o8 TL 3 | Cho biểu thức P = \frac{\sqrt{x} - 1}{\sqrt{x} + 2} - \frac{2\sqrt{x}}{\sqrt{x} - 2} + \frac{2 - 5\sqrt{x}}{4 
  1j38 TL 2 | Cho biểu thức D = (2 - \frac{\sqrt{x} - 1}{2\sqrt{x} - 3}) : [\frac{6\sqrt{x} + 1}{(2\sqrt{x} - 3)(\sqrt{x} + 
  130o TL 1 | Khử mẫu trong dấu căn a) \sqrt{\frac{4}{7}}; b) \sqrt{\frac{5}{24}}; c) 2a \cdot \sqrt{\frac{3}{5}}.
  p44o TL 1 | Trục căn thức ở mẫu các biểu thức sau: a) \frac{\sqrt{2}}{\sqrt{5}}; b) \frac{3}{2\sqrt{6}}; c) -\frac{4\sqrt{
  musd TL 3 | Cho biểu thức A = \frac{x+3}{2-\sqrt{y}} \cdot \sqrt{\frac{y-4\sqrt{y}+4}{(z+3)^4}}. a) Rút gọn biểu thức A. b
  mjl5 TL 2 | Cho biểu thức M = (\frac{1}{a-\sqrt{a}} + \frac{1}{\sqrt{a}-1}) : \frac{\sqrt{a}+1}{a-2\sqrt{a}+1} với a \ge 0
  rxcn TL 1 | Đưa thừa số ra ngoài dấu căn a) \sqrt{45}; b) \sqrt{2400}; c) \sqrt{147}; d) \sqrt{1,25}; e) \sqrt{12}; f) 3\s
  w5b3 TL 2 | Đưa thừa số ra ngoài dấu căn a) \sqrt{50 \cdot 6}; b) \sqrt{14 \cdot 21}; c) \sqrt{32 \cdot 45}; d) \sqrt{125 
  8st3 TL 1 | Đưa thừa số vào trong dấu căn a) 3\sqrt{5}; b) 5\sqrt{6}; c) \frac{2}{7}\sqrt{35}; d) 5\sqrt{3}; e) -5\sqrt{2}
  i1sm TL 1 | Rút gọn các biểu thức sau: a) \sqrt{24} - 4\sqrt{6}; b) \sqrt{20} - \sqrt{5}; c) \sqrt{12} + \sqrt{27} - \sqrt
  zg63 TL 2 | Rút gọn các biểu thức sau: a) (2 - \sqrt{10})(\sqrt{2} - \sqrt{5}). b) \sqrt{3}(\sqrt{72} + \sqrt{4,5} - \sqrt
  y9io TL 2 | a) Trục căn thức ở mẫu của biểu thức \frac{x^2 - 1}{\sqrt{x} - 1}; \frac{x^2 - x}{\sqrt{x} + 1} với x > 1. b) 
  n4lz TL 2 | Rút gọn biểu thức P = (\frac{x\sqrt{x} - y\sqrt{y}}{\sqrt{x} - \sqrt{y}} + \sqrt{xy}) : (x - y).
  33vo TL 2 | Rút gọn biểu thức P = (1 + \frac{\sqrt{x}}{x + \sqrt{x} + 1}) : \frac{\sqrt{x} + 1}{x\sqrt{x} - 1}.
  f2ff TL 2 | Cho biểu thức P = (\frac{\sqrt{x} + 2}{x - 1} - \frac{\sqrt{x} - 2}{x - 2\sqrt{x} + 1}) : \frac{4x}{(x - 1)^2}
  v71a TL 3 | Cho biểu thức P = (\frac{1}{\sqrt{x} + 3} + \frac{3}{x\sqrt{x} - 9\sqrt{x}}) : (\frac{\sqrt{x}}{\sqrt{x} + 3} 
  o7og TL 2 | Chứng minh rằng giá trị của biểu thức sau là hằng số với mọi giá trị thích hợp của x và y: A = (\frac{\sqrt{x}
  z66t TL 2 | Cho biểu thức B = \frac{x + 2}{x\sqrt{x} + 1} + \frac{\sqrt{x} - 1}{x - \sqrt{x} + 1} - \frac{1}{\sqrt{x} + 1}
  svk9 TL 2 | Cho biểu thức C = (\frac{1}{\sqrt{x} - 1} - \frac{2}{x\sqrt{x} - x + \sqrt{x} - 1}) : (\frac{\sqrt{x}}{x + 1} 
  9v2o TL 2 | Chứng minh đẳng thức sau với x > 0, y \ge 0 và x \ne y. (\frac{\sqrt{x} + \sqrt{y}}{\sqrt{x} - \sqrt{y}} - \fr
  ea71 TL 1 | Đưa thừa số ra ngoài dấu căn a) \sqrt{75}; b) \sqrt{27a}; c) \sqrt{50\sqrt{2} + 100}; d) \sqrt{9\sqrt{5} - 18}
  qkkz TL 1 | Trục căn thức ở mẫu a) \frac{4 + 3\sqrt{5}}{\sqrt{5}}; b) \frac{1}{\sqrt{5} - 2}; c) \frac{3 + \sqrt{3}}{1 - \
  09xp TL 1 | Tính: a) (\sqrt{\frac{4}{3}} + \sqrt{3})\sqrt{6}; b) (1 - 2\sqrt{5})^2; c) 2\sqrt{3} - \sqrt{27}; d) \sqrt{45}
  tfab TL 2 | Rút gọn các biểu thức sau: a) \sqrt{18} : \sqrt{6} + \sqrt{8} \cdot \sqrt{\frac{27}{2}}; b) \sqrt{64a} - \sqrt
  qs4h TL 1 | Đưa thừa số vào trong dấu căn a) 3\sqrt{2}; b) -2\sqrt{7}; c) 4\sqrt{\frac{15}{2}}; d) -5\sqrt{\frac{16}{5}}.
  q3op TL 1 | Trục căn thức ở mẫu: a) -\frac{3\sqrt{a}}{\sqrt{12a}} với a > 0; b) \frac{5}{\sqrt{x} + 3} với x > 0, x \ne 9;
  pi12 TL 2 | Rút gọn biểu thức A = \sqrt{x}(\frac{1}{\sqrt{x} + 3} - \frac{1}{3 - \sqrt{x}}) với x \ge 0 và x \ne 9.
  8yq2 TL 2 | Chứng minh rằng: a) \frac{a\sqrt{b} - b\sqrt{a}}{\sqrt{ab}} : \frac{1}{\sqrt{a} + \sqrt{b}} = a - b với a > 0,
  4wvs TL 1 | Khử mẫu của biểu thức lấy căn: a) -3x \cdot \sqrt{\frac{5}{x}} (x > 0); b) -\sqrt{\frac{3a}{b}} (a \ge 0, b > 
  scyb TL 2 | Rút gọn biểu thức P = (\frac{\sqrt{x}}{\sqrt{y}} - 3) : \frac{\sqrt{xy}}{x + 3\sqrt{xy}}.

### [13] Bài 3. Biến đổi đơn giản và rút gọn biểu thức chứa căn thức bậc hai | Khử mẫu của biểu thức lấy căn, trục căn thức ở mẫu (12)
    yêu cầu: Thực hiện được phép khử mẫu của biểu thức lấy căn và trục căn thức ở mẫu bằng biểu thức liên hợp.
  l062 TL 2 | Khử mẫu của biểu thức lấy căn: a) \sqrt{\dfrac{1}{x^3 + 3x^2 + 3x + 1}} với x > -1; b) \sqrt{\dfrac{1}{a^2} - 
