Chương 1. Đa thức · lớp 8 · 49 dạng · 505 câu


### [1] Bài 1. Đơn thức | Rút gọn và tính giá trị biểu thức (3)
    yêu cầu: Thực hiện được việc thu gọn và tính giá trị của biểu thức đại số tại các giá trị cho trước của biến.
  iwjr TL 2 | Thu gọn đa thức sau: -\frac{1}{2}xy^2z + 3x^3y^2 + 2xy^2z - \frac{2}{3}xy^2z - \frac{1}{3}x^3y^2 + xy^2z.
  7q0a TL 2 | Cho đa thức N = 5y^2z^2 - 2xy^2z + \frac{1}{3}x^4 - 2y^2z^2 + \frac{2}{3}x^4 + xy^2z. a) Thu gọn đa thức N. b)
  89f9 TL 2 | Thu gọn đa thức sau: A = 2x^2 - 3y^3 - z^4 - 4x^2 + 2y^4 + 3z^4.
  i2b5 TL 2 | Thu gọn đa thức sau: B = 2x^2y - 5xy^2 + 4x^2y - 6xy^2.
  485o TL 2 | Tìm x, biết: (2x - 3) + (3x - 4) - (4x + 5) = 6.
  axqt TL 2 | Tìm x, biết: (\frac{1}{2}x - 1) + (\frac{2}{3}x - 2) - (\frac{3}{4}x - 3) = 4.
  mth0 TL 2 | Thu gọn đa thức: 0,6x^3 + x^2z - 2,7xy^2 + 0,4x^3 + 1,7xy^2.
  epc0 NLC 1 | Đa thức nào sau đây chưa thu gọn?
  p00y NLC 2 | Thu gọn đa thức xy - 2x^2y + 3xy + 2x^2y ta được kết quả là:
  416m TL 3 | Cho đa thức f(x)=x+7x^2-6x^3+3x^4+2x^2+6x-2x^4+1. a) Thu gọn, rồi sắp xếp các số hạng của đa thức theo lũy thừ
  6qaf TL 2 | Thu gọn các biểu thức sau: a) -3x^2 - 0,5x^2 + 2,5x^2. b) 5x^3 - 3x^2 + x - x^3 - 4x^2 - x. c) -\frac{3}{4}x^3
  vd8q NLC 1 | Đa thức thu gọn trong các đa thức sau là:

### [22] Bài 2. Đa thức nhiều biến | Nhận biết các đơn thức nhiều biến, đa thức nhiều biến (2)
    yêu cầu: Nhận biết được đơn thức nhiều biến và đa thức nhiều biến trong các biểu thức đại số cho trước.
  ihqh NLC 1 | Biểu thức nào sau đây không là đa thức?
  i0d9 TL 1 | Cho các biểu thức: \frac{4}{5}x; (\sqrt{2} - 1)xy; -3xy^2; \frac{1}{2}x^2y; \frac{1}{x}y^3; -xy + \sqrt{2}; -\

### [23] Bài 3. Phép cộng và trừ đa thức | Tính giá trị của biểu thức (2)
    yêu cầu: Tính được giá trị của biểu thức đại số sau khi thực hiện thu gọn bằng phép cộng và phép trừ đa thức.
  3liq TL 4 | Cho các đa thức A(x)=(x-4)^2+2014 và B(x)=4|x-4|+4. a) Tính A(-4), A(4), B(-4) và B(4). b) Tìm giá trị nhỏ nhấ
  1ete NLC 2 | Giá trị của biểu thức A=x^2(x-1)+y^2(x-1)+z^2(x-1)-1 biết x^2+y^2+z^2=0 là:

### [24] Bài 3. Phép cộng và trừ đa thức | Toán thực tế (3)
    yêu cầu: Vận dụng được phép cộng và phép trừ đa thức để giải quyết một số bài toán thực tế liên quan đến hình học và đời sống.
  cxu9 TL 3 | Trong buổi sinh hoạt câu lạc bộ Toán học của lớp, hai bạn tính giá trị của hai đa thức P = 2x^2y - xy^2 + 22 v
  vytf TL 2 | Tìm độ dài cạnh còn thiếu của tam giác trong hình bên, biết rằng tam giác có chu vi bằng 7x + 5y. [HÌNH VẼ]
  f5rz TL 2 | Bác Huỳnh muốn sơn bề mặt của hai khối gỗ có dạng hình hộp chữ nhật. Hình hộp chữ nhật thứ nhất có ba kích thư

### [25] Bài 3. Phép cộng và trừ đa thức | Tìm đa thức thõa mãn đẳng thức (16)
    yêu cầu: Vận dụng được phép cộng và phép trừ đa thức để tìm một đa thức chưa biết trong một đẳng thức cho trước.
  adj7 TL 2 | Tìm đa thức M biết: (25x^2y - 13xy^2 + x^3) - M = 11x^2y - 2x^3.
  a4vz TL 2 | Cho đa thức P = x^2 - 2x^2y + x. Tìm đa thức M thỏa mãn M + P = 3x^2y + 2x - 1.
  ru0w TL 2 | Tìm đa thức M biết: M + (5x^2 - 2xy) = 6x^2 + 9xy - y^2.
  07r8 TL 2 | Tìm đa thức M biết M - 5x^2 + xyz = xy + 2x^2 - 3xyz + 5.
  v6jr TL 2 | Tìm đa thức P biết 2P + (2x^2 + 3y^2) = 6x^2 - 3y^2 - 2x^2y^2.
  4kii TL 2 | Tìm đa thức M biết a) M + (2x - 3y) = x - 4y + 5; b) M - (2xy - 0,5y^2) = -2xy + 5y^2; c) (2x^2 - 3xy + 4y^2) 
  41nx TL 2 | Cho đa thức Q = 3xy^2 - 2xy + x^2y - 2y^4. Tìm đa thức N thỏa mãn Q - N = 2y^4 + x^2y + xy^2.
  l8lg NLC 2 | Tìm đa thức B sao cho tổng B với đa thức 2x^4 - 3x^2y + y^4 + 6xz - z^2 bằng 0.
  z70l NLC 2 | Tìm đa thức M biết M - 3xy + 4y^2 = x^2 - 7xy + 8y^2.
  swbx TL 2 | Cho hai đa thức: A = 7xyz^2 - 5xy^2z + 3x^2yz - xyz + 1; B = 7x^2yz - 5xy^2z + 3xyz^2 - 2. a) Tìm đa thức C sa
  bpb4 TL 3 | Cho các đa thức M=2x^3-2x^2y+xy+1; N=3x^2y+2xy-2; P=x^3-x^2y-3xy+1. Tính: a) M+N. b) M-P. c) M-N+P.
  inzv TL 3 | Tìm đa thức A sau đó tính giá trị biểu thức A tại x=1;y=2, biết 6x^2-3xy^2+A=x^2+y^2-2xy^2.
  dryo TL 3 | Tìm đa thức B sau đó tính giá trị biểu thức B tại x=1;y=2, biết B-(2xy-4y^2)=5xy+x^2-7y^2.
  26n8 TL 4 | Cho đa thức A=x^2+xy-2012x-2013y-2014. Tìm cặp số (x;y) nguyên để đa thức A=0.
  0v1f TL 2 | Tìm đa thức M biết: M - (4xy - 3y^2) = x^2 - 7xy + 8y^2.
  2778 TL 2 | Tìm đa thức  M và cho biết bậc của đa thức  M a)  (3x - x^3y^2 - x^2y + 2 - x) - M = -(7x^2y + xyz - 3x + 4) b

### [26] Bài 3. Phép cộng và trừ đa thức | Dạng toán chia hết (3)
    yêu cầu: Vận dụng phép cộng, trừ đa thức và tính chất chia hết để giải quyết các bài toán về chia hết của số tự nhiên hoặc biểu thức.
  pqw0 TL 3 | Chứng minh rằng \overline{abc} + \overline{bca} + \overline{cab} chia hết cho 37.
  dwje TL 3 | Cho a, b, c là số nguyên. Đặt A = 3a - 5b, B = 7b - 9c và C = 11c - 13a. Chứng tỏ tích A \cdot B \cdot C là số
  lva0 TL 3 | Với n là số nguyên dương, chứng minh rằng A = 3^{n+2} + 3^n - 2^{n+2} - 2^n chia hết cho 10.

### [27] Bài 3. Phép cộng và trừ đa thức | Tính tổng và hiệu đa thức (33)
    yêu cầu: Thực hiện được phép tính cộng và phép tính trừ các đa thức nhiều biến.
  r69c TL 2 | Cho ba đa thức: A = x^2 - 2xy + y^2; B = 2x^2 - y^2; C = x^2 - 3xy. Tính: a) A - B. b) A - C.
  gtrv NLC 1 | Kết quả của phép tính 3x^2y^4 + 7x^2y^4 là
  9g0e TL 2 | Rút gọn biểu thức: (x - y) + (y - z) + (z - x).
  182j TL 2 | Tính tổng và hiệu của hai đa thức P = x^2y + x^3 - xy^2 + 3 và Q = x^3 + xy^2 - xy - 6.
  x00e TL 2 | Rút gọn biểu thức: (2x - 3y) + (2y - 3z) + (2z - 3x).
  thrm TL 2 | Tìm tổng và hiệu của hai đa thức: C = 5x^2y + 5x - 3z + 2 và D = xyz - 4x^2y + 5x - 1.
  j3l1 TL 2 | Tính tổng của hai đa thức: M = -5x^2y + 3xy^2 + 7 và N = -6x^2y + 4xy^2 - 5.
  0st0 TL 2 | Tính tổng của hai đa thức: M = 2x^2y + xy^2 - 2 và N = -2xy^2 + x^2y + 1.
  v074 TL 2 | Tính tổng của hai đa thức: P = 2x^2y + 9xy^2 - 5y^3 và Q = 6x^2y + xy^2.
  er1b TL 2 | Tính hiệu của hai đa thức M và N biết: M = 15x^2y - 7xy^2 - 6y^3 và N = 12x^2y - 2y^3 - 7xy^2.
  89dd TL 2 | Tính hiệu của hai đa thức M và N biết: M = 1,2x - 3,5y + 2 và N = 0,2x - 2,5y + 3.
  xzna TL 2 | Tính tổng và hiệu của hai đa thức P và Q, biết: P = y - [y - (y + x)] và Q = y - [y - x + (2x - 2y)].
  zy1s TL 2 | Cho hai đa thức M = 2x^2 + 4xy - 4y^2 và N = 3x^2 - 2xy + 2y^2. Tính giá trị của đa thức M + N tại x = 1; y = 
  h0h8 TL 2 | Tính tổng của hai đa thức: P = 5,7x^2y - 3,1xy + 8y^3 và Q = 2,3x^2y - 8y^3 - 6,9xy.
  uqgv TL 2 | Tính: a) x + 2y + (x - y); b) 2x - y - (3x - 5y); c) 3x^2 - 4y^2 + 6xy + 7 + (-x^2 + y^2 - 8xy + 9x + 1); d) 4
  7ik6 TL 2 | Tính tổng của hai đa thức P = x^3 + 3x^2y + 3xy^2 + y^3 và Q = x^3 - 3x^2y + 3xy^2 - y^3.
  bbnt TL 2 | Tính tổng của hai đa thức: a) A = 2x^2 + 3y^2 và B = 3x^2 - 4y^2; b) P = 2x^2 - 3xy + 5y^2 và Q = 3x^2 + xy - 
  53j8 TL 2 | Cho hai đa thức G = x^2y - 3xy - 3 và H = 3x^2y + xy - 0,5x + 5. Hãy tính G + H và G - H.
  krtl TL 2 | Tính hiệu của hai đa thức M và N với a) M = x^2 + y^2 + 2xy và N = x^2 + y^2 - 2xy; b) M = 2,3x + 3,2y - 10 và
  vazf TL 2 | Rút gọn biểu thức: a) (x - y) + (y - z) + (z - x); b) (2x - 3y) + (2y - 3z) + (2z - 3x).
  vwts TL 2 | Rút gọn và tính giá trị của biểu thức sau tại x = 2 và y = -1. K = (x^2y + 2xy^3) - (7,5x^3y^2 - x^3) + (3xy^3
  2dfu TL 2 | Cho P = x^2 - y^2 + 1 và Q = 3 - y^2 - 2x^2. Tính P - Q và P + Q.
  irc3 TL 2 | Cho hai đa thức A = 2x^2y + 3xyz - 2x + 5 và B = 3xyz - 2x^2y + x - 4. a) Tìm các đa thức A + B và A - B; b) T
  stj7 NLC 3 | Cho M = x - (y - z) - 2x + y + z - (2 - x - y) và N = x - [x - (y - 2z) - 2z]. Tính M - N.
  qvkb TL 2 | Cho ba đa thức: M = 3x^3 - 4x^2y + 3x - y; N = 5xy - 3x + 2; P = 3x^3 + 2x^2y + 7x - 1. Tính M + N - P và M - 
  elfn TL 1 | Tính tổng a) 8a - 6a - 7a. b) 6b^2 - 4b^2 + 3b^2. c) 6ab - 3ab - 2ab.
  wy3j TL 3 | Điền số/chữ thích hợp vào chỗ chấm (...). Cho đa thức A = a - 2ab + 3abc + 4abcd, B = 2a - 4ab - 3abc, C = -3a
  2r64 TL 2 | Rút gọn biểu thức sau: A = (x^2-xy+y^2)-(-x^2+7xy-5y^2).
  5sg8 TL 2 | Rút gọn biểu thức sau: B = (xy^2-3x^2y)-(-2xy^2-5x^2y)+(x^2y-3xy^2).
  8ts6 NLC 2 | Phép tính x^2y + 2xy - (-x^2y - xy) sau khi phá dấu ngoặc tròn được kết quả là?
  dab1 NLC 2 | Gọi T là tổng, H là hiệu của hai đa thức 3x^2y - 2xy^2 + xy và -2x^2y + 3xy^2 + 1. Khi đó:
  q0ts TL 2 | Tính tổng và hiệu của hai đa thức P và Q, biết: P = xy - x + 1 và Q = 2xy - (xy - x + 5).
  mpqk NLC 1 | Kết quả của phép tính -9y^2z - (-12y^2z) là

### [28] Bài 3. Phép cộng và trừ đa thức | Tìm bậc đa thức (1)
    yêu cầu: Xác định được bậc của một đa thức sau khi đã thực hiện thu gọn các hạng tử đồng dạng.
  nowq TL 4 | Cho các đa thức f(x)=x^{2014}-x^{2013}+x^{2012}-x^{2011}+\cdots+x^2-x+1 và h(x)=-1+x-x^2+x^3-\cdots-x^{2012}+x

### [29] Bài 3. Phép cộng và trừ đa thức | Chứng minh (3)
    yêu cầu: Vận dụng được phép cộng và phép trừ đa thức để chứng minh giá trị của một biểu thức không phụ thuộc vào biến số.
  3m7b TL 3 | Chứng minh rằng hiệu hai đa thức 0,7x^4 + 0,2x^2 - 5 và -0,3x^4 + x^2 - 8 luôn luôn dương với mọi giá trị thực
  x8uc TL 4 | Cho các đa thức: A=5x^2-3xy+7y^2 và B=6x^2-8xy+9y^2. a) Tính P=A+B và Q=A-B. b) Tính giá trị của đa thức M=P-Q
  bqk6 TL 4 | Cho hai đa thức M=4x^2y^2-12xy^2-2y^2 và N=x^2y^2+12xy^2+2y^2. Chứng minh rằng: không có số thực x và y nào để

### [30] Bài 3. Phép cộng và trừ đa thức | Tính giá trị của đa thức (3)
    yêu cầu: Thực hiện được việc thu gọn đa thức và tính giá trị của đa thức tại các giá trị cho trước của biến.
  jzop TL 2 | Tính giá trị của biểu thức (7a^3 - 6a^3 + 5a^2 + 1) + (5a^3 + 7a^2 + 3a) - (10a^3 + a^2 + 8a) với a = -0,25.
  haou TL 4 | Cho một dải băng số gồm 10 ô như sau: u_1, u_2, u_3, u_4, u_5, u_6, u_7, u_8, u_9, u_{10}. Biết chìa khóa tìm 
  v889 TL 3 | Cho đa thức f(x)=1+x+x^2+\cdots+x^{2013}+x^{2014}. Tính f(-1), f(0) và f(1).

### [31] Bài 4. Phép nhân đa thức | Chứng minh (24)
    yêu cầu: Vận dụng phép nhân đa thức để chứng minh giá trị của một biểu thức không phụ thuộc vào giá trị của biến.
  vipq TL 3 | Chứng minh đẳng thức sau: (2x + y)(2x^2 + xy - y^2) = (2x - y)(2x^2 + 3xy + y^2).
  8a5l TL 3 | Cho biểu thức A = x(1 + x) - x^2(1 - x) + x^3(x^2 - 1). Chứng minh rằng với hai giá trị đối nhau của x thì biể
  gexm TL 3 | Chứng minh các đẳng thức sau: a) 4(x - 6) - x^2(2 + 3x) + x(5x - 4) + 3x^2(x - 1) + 24 = 0; b) x^n(y^n - xy^{n
  i60g TL 3 | Cho x^2 + y^2 = 2. Chứng minh đẳng thức 2(x + 1)(y + 1) = (x + y)(x + y + 2).
  zmcm TL 3 | a) Chứng minh rằng biểu thức P = 5x(2 - x) - (x + 1)(x + 9) luôn nhận giá trị âm với mọi giá trị của biến x. b
  8ftm TL 2 | Chứng minh các đẳng thức a) (x + a)(x + b) = x^2 + (a + b)x + ab; b) (x + a)(x + b)(x + c) = x^3 + (a + b + c)
  7uq6 TL 2 | Chứng minh rằng giá trị của biểu thức sau không phụ thuộc vào giá trị của các biến: a) A = 10 - 5x(x - 1,2) + 
  s2ys TL 3 | Cho (a - b)^2 + (b - c)^2 + (c - a)^2 = 4(a^2 + b^2 + c^2 - ab - bc - ca). Chứng minh rằng a = b = c.
  uorc TL 3 | Chứng minh đẳng thức x^6(x + 1) - x^5(x - 1) - x^4(x + 1) + x^3(x - 1) + x^2(x + 1) - x(x - 1) + 1 = x^7 + x +
  ivaw TL 3 | Chứng minh rằng biểu thức A = 90 \cdot 10^n - 10^{n+2} + 10^{n+1} có giá trị không đổi với mọi n \in {N}.
  narv TL 3 | Cho biểu thức A = 3x^{n+1}(x^{n-1} - y^n) + y^n(3x^{n+1} - y^n), trong đó n \in {N}^*. Chứng minh rằng khi tha
  y8o9 TL 3 | Chứng minh các đẳng thức sau a) (a - 1)(a - 2)(a + 3) - (a + 1)(a + 2)(a - 3) = 12; b) a(a^2 - bc) + b(b^2 - c
  4mc6 TL 3 | Cho các số x, y, z tỉ lệ với a, b, c. Chứng minh rằng (x^2 + 2y^2 + 3z^2)(a^2 + 2b^2 + 3c^2) = (ax + 2by + 3cz
  kj8q TL 3 | Cho biểu thức C=x(x+x^3)+(x-1)(x^2+x^3)+1. Rút gọn biểu thức C rồi chứng tỏ rằng với hai giá trị đối nhau của 
  w9ja TL 2 | Cho ab=1. Chứng minh đẳng thức a(b+1)+b(a+1)=(a+1)(b+1).
  xmnb TL 2 | Cho biểu thức B=10-5x(x-1{,}2)+2x(2{,}5x-3). Chứng minh rằng giá trị của biểu thức này luôn không đổi.
  w7ia TL 2 | Cho biểu thức C=x(x-y)+y(x+y)-(x+y)(x-y)-2y^2. Với mọi giá trị của x và y thì giá trị của biểu thức C là một s
  i8qr TL 2 | Chứng minh giá trị của biểu thức sau không phụ thuộc vào giá trị của các biến: A=(2x-3)(x+7)-2x(x+5)-x.
  eftc TL 2 | Chứng minh đẳng thức (x-y)(x^3+x^2y+xy^2+y^3)=x^4-y^4.
  872i TL 2 | Chứng minh đẳng thức (x+y)(x+y+2)-2(x+1)(y+1)+2=x^2+y^2.
  umpp TL 4 | Cho \dfrac{x}{a}=\dfrac{y}{b}. Chứng minh rằng (x^2+y^2)(a^2+b^2)=(ax+by)^2.
  dugf TL 3 | Chứng minh biểu thức sau không phụ thuộc vào giá trị của biến: A = x(x^3+x^2-3x+2)-(x^2-2)(x^2+x+3)+4(x^2-x-2)
  qte0 TL 4 | Cho a, b, c là các số thực thỏa mãn ab+bc+ca=abc và a+b+c=1. Chứng minh rằng: (a-1)(b-1)(c-1)=0.
  9dvc TL 3 | Cho m số, mỗi số bằng 3n + 1 và n số, mỗi số bằng 9 - 3m. Biết rằng tổng tất cả các số đó bằng 5 lần tổng m + 

### [32] Bài 4. Phép nhân đa thức | Rút gọn và tính giá trị biểu thức (29)
    yêu cầu: Thực hiện được việc rút gọn và tính giá trị của biểu thức đại số có chứa phép nhân đa thức.
  ikkz NLC 2 | Rút gọn biểu thức x(x-y)-y(x+y)+x^2+y^2 ta được:
  gwai TL 3 | Cho n \in {N}^*. Tìm hệ số của hạng tử bậc lớn nhất của đa thức A = 3x^n(4x^{n-1} - 1) - 2x^{n+1}(6x^{n-2} - 1
  yxue TL 2 | Rút gọn biểu thức sau để thấy rằng giá trị của nó không phụ thuộc vào giá trị của biến: (x - 5)(2x + 3) - 2x(x
  o5lj TL 2 | Rút gọn biểu thức: x(x^2 - y) - x^2(x + y) + xy(x - 1).
  l135 TL 3 | Tính giá trị của biểu thức A = x^5 - 70x^4 - 70x^3 - 70x^2 - 70x + 29 bằng cách hợp lí tại x = 71.
  vu2h TL 3 | Cho biểu thức M = (x - a)(x - b) + (x - b)(x - c) + (x - c)(x - a) + x^2. Tìm M theo a, b, c, biết rằng 2x = a
  8s1p TL 3 | Cho a + b + c = -6, ab + bc + ca = 11 và abc = -6. Hãy tính giá trị của biểu thức E = (x + a)(x + b)(x + c) vớ
  09f8 TL 2 | Rút gọn các biểu thức sau: a) xy(x^5 - y^3) - x^2y(x^4 - y^3); b) x^3y^4(x^2 - y^3) - x^3y^3(x^4 - y^4).
  pn1h TL 2 | Rút gọn và tính giá trị của biểu thức a) P(x) = (x^2 - 5)(x + 3) + (x + 4)(x - x^2) tại x = -15; b) Q(x) = (5x
  q4xx TL 2 | Rút gọn các biểu thức sau: a) A = (4x^3 - 5x^2y + 2xy) \cdot (-\frac{1}{2}xy); b) B = 8x(x - 2) - 3(x^2 - 4x -
  b6bz TL 3 | a) Rút gọn rồi tính giá trị của biểu thức P = (5x^2 - 2xy + y^2) - (x^2 + y^2) - (4x^2 - 5xy + 1) khi x = 1,2 
  xbzt TL 2 | Cho biểu thức A = x^3y^3(x^4 - y^4) - x^3y^4(x^2 - y^3). Rút gọn rồi tính giá trị biểu thức với x = 1, y = -2.
  us7b TL 2 | Rút gọn biểu thức a) (x - y)(x^2 + xy + y^2); b) (x + y)(x^2 - xy + y^2); c) (4x - 1)(6y + 1) - 3x(8y + \frac{
  qd5s TL 3 | Cho biểu thức A = \frac{3}{229}(2 + \frac{1}{433}) - \frac{1}{229} \cdot \frac{432}{433} - \frac{4}{229 \cdot 
  2rs9 TL 3 | Tính giá trị của các đa thức a) A = x^7 - 80x^6 + 80x^5 - 80x^4 + \dots + 80x + 15 với x = 79; b) B = x^{14} -
  loxf TL 3 | Thực hiện phép tính A = (2^9 + 2^7 + 1)(2^{23} - 2^{21} + 2^{19} - 2^{17} + 2^{14} - 2^{10} + 2^9 - 2^7 + 1).
  sokm TL 3 | Cho a + b + c = 12, ab + bc + ca = 47 và abc = 60. Hãy tính giá trị của biểu thức P = (x - a)(x - b)(x - c) vớ
  evwk NLC 2 | Cho biểu thức C = x(y + z) - y(z + x) - z(x - y). Chọn khẳng định đúng.
  l00g TL 2 | Rút gọn biểu thức A=8x(x-2)-3(x^2-4x-5)-5x^2.
  ubk6 TL 2 | Cho biểu thức P=5x(3x^2y-2xy^2+1)-3xy(5x^2-3xy)+x^2y^2. a) Bằng cách thu gọn, chứng tỏ rằng giá trị của biểu t
  sovw TL 2 | Rút gọn biểu thức B=2(x-5)(x+1)+(x-3)(x+x^2).
  rmnk TL 2 | Rút gọn biểu thức A=(x+5)(2x-3)-2x(x+3)-(x-15). Rồi cho biết bậc của đa thức kết quả.
  qkrt TL 3 | Cho biểu thức 3x^3(x^5 - y^5) + y^5(3x^3 - y^3). a) Rút gọn biểu thức đã cho. b) Tính giá trị của biểu thức đã
  qte7 TL 3 | Rút gọn biểu thức: \frac{1}{4}(2x^2+y)(x-2y^2) + \frac{1}{4}(2x^2-y)(x+2y^2).
  q6m2 TL 4 | Bạn BEE khoe mình có thể áp dụng phương pháp thay số bằng biến để giải bài toán sau: Chứng minh rằng với mọi g
  di8h TL 3 | Rút gọn biểu thức sau: A = 3x.(x^2-2x+3)-x^2.(3x-2)+4(x^2-x).
  d094 TL 4 | Tính nhanh biểu thức sau: A = \dfrac{3}{229}(2+\dfrac{1}{433}) - \dfrac{1}{229}\cdot\dfrac{432}{433} - \dfrac{
  ypt1 TL 2 | Rút gọn rồi tính giá trị các biểu thức sau: a) A = x^3(x^2 - y^3) - y^3(y^2 - x^3) với x = 2, y = -2; b) B = (
  lv38 TL 2 | Cho biểu thức B=5x^2(3x-2)-(4x+7)(6x^2-x)-(7x-9x^3). Rút gọn rồi tính giá trị của biểu thức B với x=-\frac{3}{

### [33] Bài 4. Phép nhân đa thức | Tìm x (16)
    yêu cầu: Vận dụng phép nhân đa thức và thu gọn biểu thức để tìm giá trị của biến số trong một đẳng thức cho trước.
  q808 TL 2 | Tìm x, biết: 2x(2x+2)-4x(x-2)=12
  zn8q TL 3 | Tìm x, biết: a) 2x(2x + 2) - 4x(x - 2) = 12 b) (3x + 4)^2 - (3x - 1)(3x + 1) = 65 c) x(2x - 1) - 3(1 - 2x) = 0
  xkkr TL 2 | Tìm giá trị của x biết: a) 3x^2 - 3x(-2 + x) = 36; b) x^2 + 8 = 0.
  gkpw TL 2 | Tìm giá trị của x biết: a) 3x(8x - 4) - 6x(4x - 3) = 30; b) 3x(5 - 2x) + 2x(3x - 5) = 20.
  52zq TL 2 | Tìm giá trị của x biết: a) 2x^4 + x(-2x^2 + x^3) - 3(x^4 - 6) = 26; b) -4x^5 - 3x^3(2x^2 - 1) + 5(2x^5 - x^3) 
  b4we TL 2 | Tìm x, biết: (12x - 5)(4x - 1) + (3x - 7)(1 - 16x) = 81.
  sxve TL 2 | Tìm giá trị của x biết a) 2x(7x + 5) - 7x(2x - 3) = 93; b) 5x(3 - 7x) + 7x(5x + 6) = 114.
  bb8t TL 2 | Tìm x, biết a) (x + 2)(x + 3) - (x - 2)(x + 5) = 6; b) (3x + 2)(2x + 9) - (x + 2)(6x + 1) = (x + 1) - (x - 6).
  mhna TL 2 | Tìm x biết 3(x-1)(x+3)-x(3x+1)=2.
  cu1n TL 2 | Tìm x biết (x+1)(x^2+2x-1)-x^2(x+2)=4.
  hwqr TL 2 | Tìm x biết (x+1)(3x^2+x-2)-x^2(3x+4)=5.
  901d TL 3 | Tìm x biết (x-3)(x+x^2)+2(x-5)(x+1)-x^3=12.
  2r1b NLC 3 | Giá trị m thỏa mãn x^4-x^3+6x^2-x+m-1=(x^2-x+5)(x^2+1) là:
  svlj TL 3 | Tìm ba số tự nhiên chẵn liên tiếp, biết tích của hai số sau lớn hơn tích của hai số đầu là 24.
  4v6u TL 2 | Tìm x, biết a) (2x + 3)(x - 4) + (x - 5)(x - 2) = (3x - 5)(x - 4); b) 2(x - 5)(x + 5) - (x + 2)(2x - 3) + x(x^
  bd1o NLC 2 | Cho 2x(3x-1)-3x(2x-3)=11. Kết quả x bằng:

### [34] Bài 4. Phép nhân đa thức | Tìm đơn thức thỏa mãn đẳng thức (1)
    yêu cầu: Vận dụng được các quy tắc tính toán đơn thức để tìm đơn thức chưa biết và tính giá trị của nó tại các giá trị cho trước.
  owea TL 2 | a) Tìm đơn thức C nếu 5xy^2\cdot C=10x^3y^3. b) Với đơn thức C tìm được ở câu a, hãy tìm đơn thức K sao cho (K

### [35] Bài 4. Phép nhân đa thức | Toán thực tế (17)
    yêu cầu: Vận dụng được phép nhân đa thức để giải quyết một số bài toán thực tế liên quan đến diện tích, thể tích hoặc các đại lượng khác.
  umlx TL 3 | Bạn Thành dùng một miếng bìa hình chữ nhật để làm thành một cái hộp (không nắp) bằng cách cắt bốn hình vuông c
  a4bh NLC 3 | Cho hình thang có đáy lớn gấp đôi đáy nhỏ, đáy nhỏ lớn hơn chiều cao 2 đơn vị. Gọi độ dài đáy nhỏ là x. Biểu t
  ukof TL 3 | Gia đình Vinh có một mảnh đất hình chữ nhật có chiều dài x (m) và chiều rộng y (m) (x>y>8) để nuôi gà và bò. T
  p7x1 TL 3 | Gia đình Vinh có một mảnh đất hình chữ nhật có chiều dài x \ (m) và chiều rộng y \ (m) (x > y > 8) để nuôi gà 
  rifn TL 3 | Trên một sông thẳng, xuất phát cùng lúc từ một bến thuyền, thuyền đi xuôi dòng với tốc độ (v + 3) km/h, ca nô 
  sarj TL 2 | Một mảnh vườn có dạng hình chữ nhật với độ dài hai cạnh là 2x + y (m) và 2x - y (m). a) Viết đa thức biểu thị 
  e78e TL 3 | Trên một dòng sông, để đi được 10 km, một chiếc xuồng tiêu tốn a lít dầu khi xuôi dòng và tiêu tốn (a + 2) lít
  oilx TL 2 | Khu vườn nhà bác Xuân có dạng hình vuông. Bác Xuân muốn dành một mảnh đất có dạng hình chữ nhật ở góc khu vườn
  2lt2 TL 2 | Một mảnh vườn có dạng hình chữ nhật với chiều rộng là x (m), chiều dài là y (m). a) Viết đa thức biểu thị diện
  tmo2 TL 4 | Trong một khách sạn có hai bể bơi dạng hình hộp chữ nhật. Bể thứ nhất có chiều sâu là 1{,}2\ (m), đáy là hình 
  rxws TL 4 | Một khu đất hình chữ nhật có chu vi là 80\ (m) và chiều dài là x\ (m). a) Viết đa thức biểu thị diện tích của 
  qch3 NLC 2 | Một mảnh đất hình chữ nhật có chiều dài là x(m), chiều rộng ngắn hơn chiều dài 4(m). Đa thức biểu thị diện tíc
  2ggu TL 4 | Một sân bóng hình chữ nhật có chiều dài 10x+5y\ (m) và chiều rộng là 10x-5y\ (m). Mỗi cạnh chừa lại 3\ (m) làm
  nq2r TL 3 | Một hình thang có đáy lớn bằng (x+2) mét, đáy bé bằng (x+1) mét và chiều cao bằng (x+3) mét. Biết rằng tích độ
  dprl TL 3 | Một chiếc bình có dạng hình lập phương với độ dài cạnh là 2x (cm). a) Viết đa thức biểu thị thể tích nước tối 
  m5cw TL 2 | Tính diện tích phần tô màu trong hình vẽ. [HÌNH VẼ]
  b2pu TL 3 | Một sân vận động hình chữ nhật có chiều dài  5x + 3y (m) và chiều rộng là  5x - 3y (m). Người ta làm lối đi rộ

### [36] Bài 4. Phép nhân đa thức | Tính giá trị của biểu thức (1)
    yêu cầu: Tính được giá trị của biểu thức đại số sau khi thực hiện thu gọn bằng phép nhân đa thức.
  0pyb TL 4 | Tính giá trị của biểu thức A với x=999: A = x^6-x^5(x-1)-x^4(x+1)+x^3(x+1)-x(x-1)+1.

### [37] Bài 4. Phép nhân đa thức | Phép nhân đa thức (44)
    yêu cầu: Thực hiện được phép nhân đơn thức với đa thức và phép nhân đa thức với đa thức.
