Chương 2. Phương trình và bất phương trình bậc nhất một ẩn · lớp 9 · 15 dạng · 498 câu


### [1] Bài 1. Phương trình quy về phương trình bậc nhất một ẩn | Giải bài toán bằng cách lập phương trình (23)
    yêu cầu: Giải quyết được một số vấn đề thực tiễn bằng cách lập phương trình quy về phương trình bậc nhất một ẩn.
  s1ww NLC 3 | Cho phương trình \frac{a}{1+bx} = \frac{b}{1+ax} với a, b là các tham số khác 0. Phương trình vô nghiệm khi nà
  hgnz NLC 2 | Số nghiệm của phương trình \frac{x-5}{x-1} + \frac{2}{x-3} = 1 là
  llzf NLC 2 | Phương trình \frac{3x-5}{x-1} - \frac{2x-5}{x-2} = 1 có số nghiệm là
  jjs2 TL 2 | Giải phương trình: \frac{14}{3x-12}-\frac{2+x}{x-4}=\frac{3}{8-2x}-\frac{5}{6}
  xldt TL 3 | Giải phương trình sau: \frac{1}{x+2} - \frac{2}{x^2-2x+4} = \frac{x-4}{x^3+8}
  znod TL 2 | Giải phương trình sau: \frac{x}{x-5} - \frac{2}{x+5} = \frac{x^2}{x^2-25}
  h78c TL 2 | Giải phương trình chứa ẩn ở mẫu sau: \frac{x-1}{x-3} - \frac{1}{x} = \frac{3}{x^2 - 3x}.
  2gc6 TL 2 | Giải phương trình chứa ẩn ở mẫu sau: \frac{x-2}{x-1} + \frac{3}{x} = \frac{3}{x^2 - x}.

### [5] Bài 1. Phương trình quy về phương trình bậc nhất một ẩn | Giải phương trình bằng cách đặt ẩn phụ (18)
    yêu cầu: Giải được phương trình bằng cách đặt ẩn phụ để đưa về phương trình bậc nhất hoặc phương trình tích.
  8tc9 TL 3 | Giải phương trình: x(x-1)(x^2-x+1)-6=0.
  vwyu TL 2 | Giải phương trình: (x^2+x)^2+4(x^2+x)-12=0.
  h3dg TL 2 | Giải phương trình: (x^2+2x+3)^2-9(x^2+2x+3)+18=0.
  9x4i TL 3 | Giải phương trình: x(x+1)(x^2+x+1)=42.
  876o TL 3 | Giải phương trình: (x-1)(x-3)(x+5)(x+7)-297=0.
  ngse TL 3 | Giải phương trình: x^4-2x^2-144x-1295=0.
  9bwp TL 2 | Giải phương trình: (x^2+5x)^2-2(x^2+5x)=24.
  arg3 TL 3 | Giải phương trình: x(x+1)(x-1)(x+2)=24.
  olhi TL 3 | Giải phương trình: (x-2)(x+2)(x^2-10)=72.
  xulj TL 2 | Giải phương trình: (2x+1)^2-2x-1=2.
  5q1k TL 2 | Giải phương trình: (5-2x)^2+4x-10=8.
  ga1r TL 2 | Giải phương trình: (x^2-5x)^2+10(x^2-5x)+24=0.
  j3l2 TL 3 | Giải phương trình: (x+2)(x+3)(x-5)(x-6)=180.
  xv56 TL 2 | Giải phương trình: (x^2-x-1)(x^2-x)-2=0.
  xl6h NLC 3 | Tập nghiệm của phương trình (x^2 + x)(x^2 + x + 1) = 6 là:
  v7q7 NLC 3 | Tập nghiệm của phương trình (x^2 - x - 1)(x^2 - x + 1) = 3 là
  yyeg TL 2 | Giải phương trình: (x^2+2x+3)(x^2+2x+1)=3.
  l0tw TL 2 | Giải phương trình: (x^2-3x)^2+5(x^2-3x)+6=0.

### [6] Bài 2. Bất đẳng thức và tính chất | Chứng minh bất đẳng thức (44)
    yêu cầu: Chứng minh được bất đẳng thức đơn giản bằng cách xét hiệu hoặc biến đổi tương đương dựa vào các tính chất của bất đẳng thức.
  zd8q TL 2 | Với mọi a,b,c, chứng minh: a^2+b^2 \ge ab
  2jc1 TL 2 | Với mọi a,b,c, chứng minh: 2a^2+b^2+c^2 \ge 2a(b+c)
  jesc TL 2 | a) Cho m > n. Hãy so sánh: -3m + 5 và -3n + 5. b) Chứng minh rằng với mọi số thực x, y, ta luôn có: x^2 + y^2 
  p94e TL 4 | Chứng minh rằng với hai số thực dương a và b bất kỳ, ta luôn có bất đẳng thức: (a + b)(\frac{1}{a} + \frac{1}{
  63bs TL 3 | Với mọi x, y, z, chứng minh: x^2+y^2+z^2 \ge 2xy+2yz-2zx
  tt92 TL 3 | Với mọi x, y, z, chứng minh: x^2+y^2+z^2+3 \ge 2(x+y+z)
  0sab TL 2 | Với mọi a, b, chứng minh: a^2+b^2 \ge \frac{(a+b)^2}{2}
  56e0 TL 2 | Với mọi a, b, chứng minh: \frac{(a+b)^2}{2} \ge 2ab
  eka1 TL 2 | Với mọi a, b, chứng minh: a^2+\frac{b^2}{4} \ge ab
  o6ft TL 3 | Với mọi a, b, chứng minh: a^2+b^2+1 \ge ab+a+b
  dukn TL 3 | Với mọi a,b,c, chứng minh: \frac{a^2+b^2+c^2}{3} \ge (\frac{a+b+c}{3})^2
  babz TL 3 | Với mọi a,b,c, chứng minh: a^2+b^2+c^2 \ge \frac{(a+b+c)^2}{3}
  tr60 TL 3 | Với mọi a,b,c, chứng minh: \frac{a^2}{4}+b^2+c^2 \ge ab-ac+2bc
  g9ee TL 3 | Với mọi a,b,c,d,e, chứng minh: a^2+b^2+c^2+d^2+e^2 \ge a(b+c+d+e)
  9oml TL 3 | Với mọi a,b,c, chứng minh: a^4-2a^3b+2a^2b^2-2ab^3+b^4 \ge 0
  jlkk TL 3 | Với mọi a,b,c, chứng minh: a^4+b^4+c^2+1 \ge 2a(ab^2-a+c+1)
  zxyy TL 3 | Với mọi a,b,c, chứng minh: a^2+b^2+c^2+\frac{3}{4} \ge (a+b+c)
  jo4r TL 3 | Với mọi a,b,c, chứng minh: a^4+a^3b+ab^3+b^4 \ge 0
  3va2 TL 3 | Với mọi a,b,c, chứng minh: a^3+b^3+abc \ge ab(a+b+c)
  rkm5 TL 3 | Với mọi a,b,c, chứng minh: 4(a^3+b^3) \ge (a+b)^3
  0fmv TL 3 | Với mọi a,b,c, chứng minh: 2(a^3+b^3) \ge (a+b)(a^2+b^2)
  zr5u TL 3 | Với mọi a,b,c, chứng minh: (a+b)(a^3+b^3) \le 2(a^4+b^4)
  s2n5 NLC 2 | Khẳng định nào sau đây đúng với mọi x, y?
  kcdq NLC 3 | Với mọi a, b, c. Khẳng định nào sau đây là đúng
  dbzp TL 2 | Với mọi x, y, z, chứng minh: x^2+y^2+z^2 \ge xy+yz+zx
  1rei TL 2 | Chứng minh: -3a + 5 > -3b + 5 với a < b.
  475w TL 2 | Chứng minh: \sqrt{2025} - \sqrt{5} > \sqrt{2024} - \sqrt{5}
  xzb0 TL 2 | Cho a \ge 2b. Chứng minh: 2a + 7 > a + 2b + 7
  cbus TL 2 | Cho a \ge 2b. Chứng minh: 4b + 4a \le 5a + 2b.
  xfky TL 2 | Chứng minh: 2m + 4 > 2n + 3 với m > n.
  9pxy TL 3 | Chứng minh: (a - 1)^2 \ge 4 - 2a với a^2 \ge 3.
  cfbd TL 2 | Cho a \le 1. Chứng minh: (a - 1)^2 \ge a^2 - 1.
  cpi0 TL 2 | Cho a > b, chứng minh rằng: 4a+4 > 4b+3
  ekaw NLC 2 | Với x, y bất kỳ. Chọn khẳng định đúng.
  1rfs NLC 3 | Với mọi x > 0; y > 0 khẳng định nào đúng trong các khẳng định sau 1: (x + y)(\frac{1}{x} + \frac{1}{y}) \ge 4 
  13nw NLC 3 | Bất đẳng thức nào sau đây đúng với mọi a > 0, b > 0?
  nf8z NLC 3 | Khẳng định nào sau đây đúng với mọi a, b là các số thực dương?
  hen3 NLC 3 | Khẳng định nào đúng với mọi a \ge b > 0?
  3d1v NLC 3 | Cho x + y \ge 2. Chọn khẳng định đúng
  ovb4 TL 2 | Cho a > b, chứng minh rằng: 1-3a < 3-3b
  l4z2 NLC 2 | Với a, b bất kỳ. Chọn khẳng định sai.
  6u50 TL 2 | Với mọi a, b, chứng minh: \frac{a^2+b^2}{2} \ge (\frac{a+b}{2})^2
  bk7n TL 2 | a) Cho a < b. Hãy so sánh: 4a - 3 và 4b - 3. b) Chứng minh rằng với mọi số thực u, v, ta luôn có: u^2 + v^2 + 
  b0qu TL 4 | Chứng minh rằng với hai số thực dương x và y bất kỳ, ta luôn có bất đẳng thức: \frac{x^2}{y} + \frac{y^2}{x} \

### [7] Bài 2. Bất đẳng thức và tính chất | Nhận biết bất đẳng thức, viết bất đẳng thức diễn tả một khẳng định (7)
    yêu cầu: Nhận biết được bất đẳng thức và viết được bất đẳng thức diễn tả mối quan hệ so sánh giữa các đại lượng trong tình huống cho trước.
  ebf8 TL 1 | Hãy chỉ ra các bất đẳng thức diễn tả mỗi khẳng định sau: a không lớn hơn b.
  lpjl TL 1 | Hãy chỉ ra các bất đẳng thức diễn tả mỗi khẳng định sau: m không nhỏ hơn n.
  79d0 NLC 1 | Cho  a > b và  c < 0. Khẳng định đúng là
  5qkx TL 1 | Viết một bất đẳng thức phù hợp trong mỗi trường hợp sau: Mức lương tối thiểu cho một giờ làm việc của người la
  zmbv TL 2 | Gọi x là số tuổi của bạn Việt, y là số tuổi của bạn Nam, biết rằng bạn Nam lớn tuổi hơn bạn Việt. Hãy dùng bất
  yilh TL 1 | Viết một bất đẳng thức phù hợp trong mỗi trường hợp sau: Xe buýt chở được tối đa 45 người.
  bvoj TL 1 | Viết một bất đẳng thức phù hợp trong mỗi trường hợp sau: Bạn phải ít nhất 18 tuổi mới được phép lái ô tô.

### [8] Bài 2. Bất đẳng thức và tính chất | So sánh hai số, hai biểu thức bằng tính chất của bất đẳng thức (42)
    yêu cầu: Vận dụng được tính chất bắc cầu, tính chất liên hệ với phép cộng và phép nhân của bất đẳng thức để so sánh hai số hoặc hai biểu thức.
  bevw TL 2 | So sánh hai số 3 + 23^{2024} và 4 + 23^{2024}.
  lxkb TL 2 | Hãy so sánh: (-163) . (-75)^{15} và (-162) . (-75)^{15}.
  l5oi NLC 1 | Cho a > 1 > b, chọn khẳng định không đúng.
  twf8 DS 2 | Cho  a > b, c < 0 và bất phương trình  -8x + 16 \le 0.
  auh8 TL 2 | So sánh hai số a và b, nếu: - 2025a + 9 > - 2025b + 9
  esj7 NLC 2 | Cho a > b > 0. So sánh a^2 và ab; a^3 và b^3.
  d4ln NLC 2 | Hãy chọn câu sai. Nếu a < b thì
  e64p TL 2 | Số a là âm hay dương nếu: -4a \le 2a
  y25i TL 2 | Cho bất đẳng thức a > b và cho số thực c. Xác định dấu của hiệu: (a + c) - (b + c).
  b90p TL 2 | Cho bất đẳng thức a > b và cho số thực c. Hãy so sánh: a + c và b + c.
  0r4n TL 2 | So sánh x và y biết: 2x + 2023 > 2y + 2023
  7wg3 TL 2 | Cho các bất đẳng thức a > b và b > c. Xác định dấu của các hiệu: a - b, b - c, a - c.
  se3q TL 2 | Số a là âm hay dương nếu: 3a \ge 15a
  vcgi TL 2 | Số a là âm hay dương nếu: 6a > 24a
  shoy TL 3 | Cho a - 2 \le b - 1. So sánh hai biểu thức 2a - 4 và 2b - 2
  v7j4 NLC 2 | Nếu a > b > 0 thì 2021a^3 \dots 2021b^3, dấu cần điền vào chỗ chấm là
  w6ii TL 2 | Cho các bất đẳng thức a > b và b > c. Hãy so sánh: a và c.
  6lk4 NLC 1 | Cho a + 1 \le b + 2. So sánh 2 số 2a + 2 và 2b + 4. Khẳng định nào dưới đây là đúng
  p947 NLC 1 | Hãy chọn câu đúng. Nếu a > b thì
  57n0 NLC 1 | Cho -2x + 3 < -2y + 3. So sánh x và y. Đáp án nào sau đây là đúng
  cpwj NLC 2 | Cho biết a > b. Có bao nhiêu khẳng định đúng trong các khẳng định sau? I: a - 1 > b - 1. II: a - 1 > b. III: a
  4uuo NLC 1 | Cho a - 2 \le b - 1. So sánh 2 số 2a - 4 và 2b - 2. Khẳng định nào dưới đây là sai
  fnpd NLC 1 | Cho -3x - 1 < -3y - 1. So sánh x và y. Đáp án nào sau đây là đúng
  mjre TL 2 | So sánh x và y biết: x - \frac{1}{3} \le y - \frac{1}{3}
  xe6o TL 2 | So sánh x và y biết: -\frac{2024}{2025} - 3x \ge -\frac{2024}{2025} - 3y
  3tjm NLC 1 | So sánh m và n biết m - \frac{1}{2} = n.
  u4h9 NLC 1 | Biết rằng m > n với m, n bất kỳ, chọn câu đúng.
  gsue NLC 1 | Cho x - 3 \le y - 3, so sánh x và y. Chọn đáp án sai.
  3ico NLC 1 | Cho x + 5 \ge y + 5, so sánh x và y. Chọn đáp án sai.
  w6u0 NLC 2 | Cho a - 3 < b. So sánh a + 10 và b + 13.
  u8up NLC 2 | Cho biết a - 1 = b + 2 = c - 3. Hãy sắp xếp các số a, b, c theo thứ tự tăng dần.
  oeb4 NLC 2 | Cho biết a = b - 1 = c - 3. Hãy sắp xếp các số a, b, c theo thứ tự tăng dần.
  01bl NLC 1 | Hãy chọn câu sai.
  3n1k NLC 1 | Cho a > b và c > 0, chọn kết luận đúng.
  6v3u NLC 1 | Cho m bất kỳ, chọn câu đúng.
  igka NLC 2 | Cho a + 8 < b. So sánh a - 7 và b - 15.
  9js9 TL 2 | So sánh hai số a và b, nếu: a + 2024 < b + 2024
  bgya TL 2 | So sánh m và m^2 với 0 < m < 1.
  3s3a TL 2 | Cho a < b, hãy so sánh: a+b+5 với 2b+5.
  1fvt NLC 2 | Cho a > b. Khi đó ta có:
  h7pu TL 2 | Cho a < b, hãy so sánh: -2a-3 với -(a+b)-3.
  68xs NLC 1 | Cho a > b khi đó

### [9] Bài 2. Bất đẳng thức và tính chất | Ứng dụng thực tế của bất đẳng thức (7)
    yêu cầu: Vận dụng được bất đẳng thức và tính chất của nó để giải quyết một số bài toán thực tế về ước lượng, so sánh, tối ưu.
  59xk TL 3 | Một hình chữ nhật có chu vi  40 m. Tìm diện tích lớn nhất của hình chữ nhật.
  79jt TL 2 | Một nhà tài trợ dự kiến tổ chức một buổi đi dã ngoại tập thể nhằm giúp các bạn học sinh vùng cao trải nghiệm t
  4uoj TL 2 | Khi đi đường, chúng ta có thể thấy các biển báo giao thông báo hiệu giới hạn tốc độ mà xe cơ giới được phép đi
  d6oh TL 2 | Nồng độ cồn trong máu (tiếng Anh là Blood Alcohol Content, viết tắt: BAC) được định nghĩa là tỉ lệ phần trăm l
  3pjd TL 1 | Theo quy định của một hãng bay, khối lượng hành lí xách tay của khách hàng phổ thông không được vượt quá 12 kg
  fovh TL 1 | Dùng các dấu >, <, \ge, \le để diễn tả: Trọng tải P của toàn bộ xe khi đi qua cầu đúng quy định với biển báo g
  9h9e TL 1 | Dùng các dấu >, <, \ge, \le để diễn tả: Tốc độ v đúng quy định với biển báo giao thông ở Hình 4a. [HÌNH VẼ]

### [10] Bài 3. Bất phương trình bậc nhất một ẩn | Nhận biết bất phương trình bậc nhất một ẩn và nghiệm của nó (5)
    yêu cầu: Nhận biết được bất phương trình bậc nhất một ẩn và kiểm tra được một số có là nghiệm của bất phương trình hay không.
  a2ak TL 2 | Chứng minh các bất phương trình sau là bất phương trình bậc nhất một ẩn với mọi giá trị của tham số m: (m^2 + 
  fs70 NLC 1 | Cho các bất phương trình sau, đâu là bất phương trình bậc nhất một ẩn.
  jio6 TL 1 | Hãy xét xem các bất phương trình sau có là bất phương trình bậc nhất một ẩn hay không? \frac{1}{x} - 3 \le 0
  mu1d TL 2 | Chứng minh các bất phương trình sau là bất phương trình bậc nhất một ẩn với mọi giá trị của tham số m: -(m^2 +
  0pge NLC 1 | Với giá trị nào của m thì bất phương trình mx + 1 < 3 là bất phương trình bậc nhất một ẩn?

### [11] Bài 3. Bất phương trình bậc nhất một ẩn | Giải bất phương trình bậc nhất một ẩn cơ bản (25)
    yêu cầu: Giải được bất phương trình bậc nhất một ẩn dạng ax + b > 0 (hoặc <, ≥, ≤) và tìm được nghiệm nguyên thoả điều kiện cho trước.
  ktyv TLN 3 | Tìm số nguyên nhỏ nhất thỏa mãn 2(3x - 1) > 4x + 8.
  rohd TLN 3 | Có bao nhiêu số nguyên thỏa mãn -1 \le 2x - 3 < 7?
  zdt5 TLN 3 | Tìm số nguyên lớn nhất thỏa mãn -3x + 4 \ge 19.
  et3x TLN 3 | Tìm số nguyên nhỏ nhất thỏa mãn 5x - 7 > 18.
  u9c7 TLN 3 | Tìm số nguyên lớn nhất thỏa mãn \frac{x - 1}{2} \le \frac{x + 5}{3}.
  rycj TLN 3 | Có bao nhiêu số nguyên dương thỏa mãn 2x + 1 \le 15?
  wx8a TL 2 | Giải bất phương trình sau và biểu diễn tập nghiệm của nó trên trục số: 4x - 3 < 7x + 9.
  14yb NLC 2 | Nghiệm của bất phương trình  -9x + 72 \le 0 là
  k7z5 TLN 2 | Tìm số nguyên nhỏ nhất thỏa mãn bất phương trình  9x > 89.
  ss4p NLC 1 | Giá trị x = 2 là nghiệm của bất phương trình nào sau đây?
  gjws NLC 1 | Cho a > b. Bất đẳng thức nào tương đương với bất đẳng thức đã cho?
  b8xv TL 2 | Giải các bất phương trình sau: \frac{x + 2}{6} + \frac{x + 5}{3} > \frac{x + 3}{5} + \frac{x + 6}{2}
  j5he TL 1 | Giải các bất phương trình sau: 2x - 8 > 0
  adt3 TL 1 | Giải các bất phương trình sau: 9 - 3x \le 0
  kotb TL 2 | Giải các bất phương trình sau: 3(2x - 3) \ge 4(2 - x) + 13
  qsf2 TL 2 | Giải các bất phương trình sau: 2(3 - x) - 1,5(x - 4) < 3 - x
  rt07 TL 2 | Giải các bất phương trình sau: 6x - 1 - (3x + 9) \le 8x - 7 - (2x - 1)
  sorf TL 2 | Giải các bất phương trình sau: 17(x + 5) + 41x \ge -15(x + 4) - 1
  iu0f TL 2 | Giải các bất phương trình sau: 8x + 17 - 3(2x + 3) \le 10(x + 2)
  1hqa NLC 1 | Nghiệm của bất phương trình -3x + 5 > 0 là
  gisp NLC 1 | Nghiệm của bất phương trình 3x + 7 > x + 9 là
  y7i1 TL 2 | Giải các bất phương trình sau: 4(2 - 3x) - (5 - x) > 11 - x
  68ib TL 1 | Giải các bất phương trình sau: 5 - \frac{1}{3}x < 1
  9cnk NLC 1 | Nghiệm của bất phương trình 1-2x \ge 2-x là
  h4ih NLC 1 | Nghiệm của bất phương trình -2x+1 < 0 là

### [12] Bài 3. Bất phương trình bậc nhất một ẩn | Giải bất phương trình đưa về bất phương trình bậc nhất một ẩn (61)
    yêu cầu: Giải được bất phương trình có ngoặc, có mẫu số hoặc phải thu gọn hai vế để đưa về bất phương trình bậc nhất một ẩn.
  s351 TL 3 | Giải các bất phương trình sau: (Biến đổi đặc biệt) \frac{x + 1}{35} + \frac{x + 3}{33} \ge \frac{x + 5}{31} + 
  i9i0 TL 2 | Giải các bất phương trình sau: \frac{3x + 5}{2} - 1 \le \frac{x + 2}{3} + x
  bdmr TL 2 | Giải các bất phương trình sau: 2x + \frac{2x + 1}{2} > 3x - \frac{1}{5}
  uf2e TL 2 | Giải các bất phương trình sau: x - \frac{5x}{6} - 3 > \frac{x}{3} - \frac{x}{6}
  vut0 TL 3 | Giải các bất phương trình sau: (Biến đổi đặc biệt) \frac{x - 1}{13} - \frac{2x - 13}{15} < \frac{3x - 15}{27} 
  r876 TLN 3 | Bất phương trình 4(x - 2) < 4x + 1 có bao nhiêu nghiệm thực?
  jzk3 TL 3 | Cho biểu thức B = (\frac{1}{3} + \frac{3}{x^2 - 3x}) : (\frac{x^2}{27 - 3x^2} + \frac{1}{x + 3}) a) Tìm điều k
  l53e TL 3 | Giải các bất phương trình sau: (Biến đổi đặc biệt) \frac{x - 1}{99} + \frac{x - 3}{97} + \frac{x - 5}{95} < \f
  d3rt TL 3 | Giải các bất phương trình sau: (Biến đổi đặc biệt) \frac{x - 2}{2017} + \frac{x - 3}{2018} < \frac{x - 4}{2019
  vfr0 TL 3 | Giải các bất phương trình sau: (Biến đổi đặc biệt) \frac{x - 29}{1970} + \frac{x - 27}{1972} + \frac{x - 25}{1
  oz79 TL 3 | Giải các bất phương trình sau: (Biến đổi đặc biệt) \frac{x + 1987}{2002} + \frac{x + 1988}{2003} > \frac{x + 1
  2vor NLC 3 | Nghiệm của bất phương trình \frac{x + 4}{x + 1} + \frac{x}{x - 1} < \frac{2x^2}{x^2 - 1} là:
  k9d1 TL 3 | Giải các bất phương trình ẩn x sau: \frac{x - ab}{a + b} + \frac{x - bc}{b + c} + \frac{x - ac}{a + c} > a + b
  lhwa TL 2 | Giải các bất phương trình sau: 3(x + 1) + 2x(x - 1) < 2x^2
  t8v8 TL 2 | Giải các bất phương trình sau: \frac{5(x - 1)}{6} - 1 \ge \frac{2(x + 1)}{3}
  b1hj TL 2 | Giải các bất phương trình sau: \frac{2x - 1}{3} < \frac{x + 6}{2}
  m7io TL 2 | Giải các bất phương trình sau: 8x - 3 < 5(\frac{8x}{5} + 3)
  zpy8 TL 2 | Giải các bất phương trình sau: \frac{x + 5}{6} + \frac{x - 1}{3} \le \frac{x + 3}{2} - 1
  txya TL 3 | Giải các bất phương trình sau: (Biến đổi đặc biệt) \frac{x - 1995}{5} - \frac{x - 5}{1995} + \frac{x - 1997}{3
  1hi2 TL 3 | Giải các bất phương trình ẩn x sau: \frac{x + 2004}{2005} + \frac{x + 2005}{2006} < \frac{x + 2006}{2007} + \f
  myve TL 3 | Giải các bất phương trình sau: (Biến đổi đặc biệt) \frac{x + 1}{2013} + \frac{x + 2}{2012} < \frac{x + 3}{2011
  zuo7 TL 3 | Cho biểu thức A = ( \frac{1}{1 - x} + \frac{2}{x + 1} - \frac{5 - x}{1 - x^2} ) : \frac{1 - 2x}{x^2 - 1} a) Tì
  7as3 TL 2 | Giải các bất phương trình \frac{2x + 1}{-3} - \frac{2x^2 + 3}{-4} > \frac{x(5 - 3x)}{-6} - \frac{4x + 1}{-5}
  1f5q TL 2 | Giải các bất phương trình \frac{5x - 2}{-3} - \frac{2x^2 - x}{-2} > \frac{x(1 - 3x)}{-3} - \frac{5x}{-4}
  k8xd TL 3 | Giải các bất phương trình sau: (Biến đổi đặc biệt) \frac{x + 6}{1999} + \frac{x + 8}{1997} \ge \frac{x + 10}{1
  sdgl TL 3 | Giải các bất phương trình sau: (Biến đổi đặc biệt) \frac{x + 1}{2009} + \frac{x + 2}{2008} + \frac{x + 3}{2007
  06dx TL 3 | Giải các bất phương trình sau: (Biến đổi đặc biệt) \frac{x - 21}{1978} - \frac{x - 1978}{21} + \frac{x - 19}{1
  vg4l NLC 2 | Bất phương trình \frac{3x + 5}{2} - 1 \le \frac{x + 2}{3} + x có nghiệm là
  g4x1 NLC 2 | Bất phương trình 2(x - 1) - x > 3(x - 1) - 2x - 5 có nghiệm là
  xoye TL 2 | Giải các bất phương trình sau: \frac{3x + 5}{2} - x \ge 1 + \frac{x + 2}{3}
  4i8u TL 2 | Giải các bất phương trình sau: \frac{x - 2}{3} - x - 2 \le \frac{x - 17}{2}
  hhcq TL 2 | Giải các bất phương trình sau: \frac{2x + 1}{3} - \frac{x - 4}{4} \le \frac{3x + 1}{6} - \frac{x - 4}{12}
  388e TL 2 | Giải các bất phương trình (x - 1)^2 + x^2 \le (x + 1)^2 + (x + 2)^2
  bqwt TL 2 | Giải các bất phương trình x^2 - 3x + 1 > 2(x - 1) - x(3 - x)
  r8md TL 2 | Giải các bất phương trình sau: (2x + 3)(2x - 1) > 4x(x + 2)
  0e4t TL 2 | Giải các bất phương trình sau: 5(x - 1) - x(7 - x) < x^2
  qy65 TL 2 | Giải các bất phương trình sau: (x - 1)^2 + (x - 3)^2 > x^2 + (x + 1)^2
  d90h TL 2 | Giải các bất phương trình \frac{4x - 2}{3} - x + 3 \le \frac{1 - 5x}{4}
  hksp TL 2 | Giải các bất phương trình \frac{x + 4}{5} - x - 5 \ge \frac{x + 3}{3} - \frac{x - 2}{2}
  0rq6 TL 2 | Giải các bất phương trình \frac{5x^2 - 3}{5} + \frac{3x - 1}{4} < \frac{x(2x + 3)}{2} - 5
  gb4a TL 3 | Giải các bất phương trình sau: \frac{x - 2}{1007} + \frac{x - 1}{1008} < \frac{2x - 1}{2017} + \frac{2x - 3}{2
  p96o TL 3 | Giải các bất phương trình ẩn x sau: \frac{x - 2}{2002} + \frac{x - 4}{2000} < \frac{x - 3}{2001} + \frac{x - 5
  8ix5 TL 3 | Giải các bất phương trình sau: (Biến đổi đặc biệt) \frac{x - 85}{15} + \frac{x - 74}{13} + \frac{x - 67}{11} \
  y453 TL 3 | Giải các bất phương trình sau: (Biến đổi đặc biệt) \frac{x + 1}{65} + \frac{x + 3}{63} - \frac{x + 5}{61} - \f
  graa TL 3 | Giải các bất phương trình sau: (Biến đổi đặc biệt) \frac{x + 29}{31} - \frac{x + 27}{33} \le \frac{x + 17}{43}
  l1i0 TL 3 | Giải các bất phương trình sau: (Biến đổi đặc biệt) \frac{x - 10}{1994} + \frac{x - 8}{1996} + \frac{x - 6}{199
  586h TL 3 | Giải các bất phương trình sau: (Biến đổi đặc biệt) \frac{1909 - x}{91} + \frac{1907 - x}{93} + \frac{1905 - x}
  b520 TL 3 | Giải các bất phương trình sau: (Biến đổi đặc biệt) \frac{x - 1009}{1001} + \frac{x - 4}{1003} + \frac{x + 2010
  nhdi TL 3 | Giải các bất phương trình sau: (Biến đổi đặc biệt) \frac{x - 3}{2011} + \frac{x - 2}{2012} \le \frac{x - 2012}
  triw NLC 2 | Số nguyên nhỏ nhất thỏa mãn bất phương trình x(5x + 1) + 4(x + 3) \ge 5x^2 là
  7od8 NLC 2 | Số nguyên lớn nhất thỏa mãn bất phương trình (x - 2)^2 - x^2 - 5x + 3 \ge 0 là
  cax7 NLC 2 | Tập nghiệm của bất phương trình \frac{x - 3}{x + 4} < 0 là
  itmc NLC 3 | Nghiệm của các bất phương trình x^2 + 2(x - 3) - 1 > x(x + 5) + 5 và \frac{2}{3} - \frac{3x - 6}{2} > \frac{1 
  vmrm NLC 2 | Tìm giá trị của x để biểu thức A = \frac{5 - 2x}{x^2 + 4} có giá trị dương.
  qyp4 NLC 2 | Chọn câu đúng, biết 0 < a < b.
  uzqj TL 2 | Giải các bất phương trình sau: 2 + \frac{3(x + 1)}{8} \le 3 - \frac{x - 1}{4}
  5ger TL 2 | Giải các bất phương trình \frac{x - 1}{2} - \frac{7x + 3}{15} \le \frac{2x + 1}{3} + \frac{3 - 2x}{5}
  5y75 TL 2 | Giải các bất phương trình (x^2+1)(x-6) \le (x-2)^3
  nu6j NLC 2 | Phương trình x-1 = m+4 có nghiệm lớn hơn 1 với
  jyus TL 2 | Giải bất phương trình sau: 2x+3(x+1) > 5x - (2x-4)
  rnm1 TL 2 | Giải bất phương trình sau: (x+1)(2x-1) < 2x^2 - 4x + 1

### [13] Bài 3. Bất phương trình bậc nhất một ẩn | Bất phương trình bậc nhất một ẩn chứa tham số (0)
    yêu cầu: Tìm được giá trị của tham số để bất phương trình có nghiệm cho trước hoặc để hai bất phương trình có cùng tập nghiệm.

### [14] Bài 3. Bất phương trình bậc nhất một ẩn | Ứng dụng thực tế của bất phương trình bậc nhất một ẩn (35)
    yêu cầu: Giải quyết được một số vấn đề thực tiễn (chi phí, số lượng tối đa, điều kiện đạt yêu cầu) bằng cách lập và giải bất phương trình bậc nhất mộ
  c2j5 TLN 4 | Một cây cao 9 m có bóng dài 6 m (H.18) [CÓ HÌNH ẢNH KÈM THEO]. Tính góc tạo bởi tia nắng và mặt đất (làm tròn 
  5t45 TLN 4 | Hai người ở hai phía chân khí cầu cách nhau 120 m, góc nâng 30^\circ và 60^\circ (H.17) [CÓ HÌNH ẢNH KÈM THEO]
  7f7q TLN 4 | Cột cờ có bóng dài 18 m, tia nắng tạo với đất góc 42^\circ (H.11) [CÓ HÌNH ẢNH KÈM THEO]. Tính chiều cao (làm 
  hctw TLN 3 | Một người có 500 nghìn đồng, mua sách giá 65 nghìn/quyển và để lại ít nhất 45 nghìn. Mua nhiều nhất bao nhiêu 
  6o9l TLN 4 | Một con dốc dài 150 m nghiêng 7^\circ (H.15) [CÓ HÌNH ẢNH KÈM THEO]. Độ cao tăng thêm là bao nhiêu (làm tròn 0
