Chương 1. Hàm số lượng giác và phương trình lượng giác · lớp 11 · 31 dạng · 255 câu


### [1] Bài 1. Giá trị lượng giác của góc lượng giác | Tính các giá trị lượng giác của một góc lượng giác (22)
    yêu cầu: Tính được các giá trị lượng giác của một góc khi biết một giá trị lượng giác của góc đó.
  lfeh NLC 2 | Cho góc \alpha thỏa mãn 0 < \alpha < \frac{\pi}{2} và \cos \alpha = \frac{1}{3}. Tính \sin \alpha.
  lprv DS 3 | Cho phương trình lượng giác \tan(2x - 15^\circ) = 1.
  7kbr DS 3 | Cho phương trình lượng giác 3 - \sqrt{3}\tan(2x - \frac{\pi}{3}) = 0.
  ssgt TL 2 | Giải phương trình  \tan(x + \frac{\pi}{3}) = \sqrt{3}
  x272 NLC 2 | Tập nghiệm S của phương trình \sqrt{3} \tan \frac{x}{3} + 3 = 0
  q3yz NLC 2 | Nghiệm của phương trình \cot 2x = -\sqrt{3} là

### [16] Bài 4. Phương trình lượng giác cơ bản | Ứng dụng phương trình lượng giác trong bài toán thực tế (11)
    yêu cầu: Vận dụng được phương trình lượng giác cơ bản để giải quyết bài toán thực tế.
  o8lg TLN 3 | Giả sử một vật dao động điều hoà xung quanh vị trí cân bằng theo phương trình x = 2 \cos (5t - \frac{\pi}{6}).
  ab3b TLN 3 | Hằng ngày, Mặt Trời chiếu sáng, bóng của một toà chung cư cao 40 m in trên mặt đất, độ dài bóng của toà nhà nà
  59xs TLN 3 | Một vệ tinh bay quanh Trái Đất theo một quỹ đạo hình Elip (như hình vẽ): ![Hình ảnh](https://cmjithgtecypxmisb
  ktkf TLN 4 | Một cây cầu có dạng cung OA của đồ thị hàm số y = 4,8 \sin \frac{x}{9} và được mô tả trong hệ trục tọa độ với 
  jo64 TLN 3 | Số giờ có ánh sáng mặt trời của thành phố B trong ngày thứ t (ở đây t là số ngày tính từ ngày mùng 1 tháng giê
  m7gg TLN 2 | Hằng ngày mực nước của con kênh lên xuống theo thủy triều. Độ sâu h (mét) của mực nước trong kênh được tính tạ
  nbvs TLN 3 | Chiều cao h (m) của một cabin trên vòng quay vào thời điểm t giây sau khi bắt đầu chuyển động được cho bởi côn
  7omj TLN 4 | Một cây cầu có dạng cung OA của đồ thị hàm số y = 4,8\sin\frac{x}{9} và được mô tả trong hệ trục tọa độ với đơ
  s4de TLN 3 | Số giờ có ánh sáng mặt trời của một thành phố A trong ngày thứ t (ở đây t là số ngày tính từ ngày 1 tháng giên
  v7ia TLN 4 | Một vòng quay trò chơi có bán kính 57 m, trục quay cách mặt đất 57,5 m, quay đều mỗi vòng hết 15 phút. Khi vòn
  o1zi DS 3 | Một vật dao động xung quanh vị trí cân bằng theo phương trình x = 1,5 \cos (\frac{t\pi}{4}); trong đó t là thờ

### [17] Bài 4. Phương trình lượng giác cơ bản | Biện luận số nghiệm của phương trình lượng giác chứa tham số (1)
    yêu cầu: Biện luận được số nghiệm của phương trình lượng giác chứa tham số trên khoảng cho trước.
  7mma TLN 4 | Số các giá trị nguyên của tham số m để phương trình: (3\cos x - 2)(2\cos x + 3m - 1) = 0 có 3 nghiệm phân biệt

### [18] Bài 5. Ôn tập chương | Bài toán thực tế ứng dụng công thức lượng giác (1)
    yêu cầu: Giải quyết được bài toán thực tế liên quan đến góc an toàn và khoảng cách bằng cách vận dụng công thức lượng giác.
  l567 TLN 3 | Một cái thang đơn có chiều dài 5m có ghi "để đảm bảo an toàn cần đặt thang sao cho góc tạo thành giữa thang và

### [19] Bài 5. Ôn tập chương | Tổng hợp lượng giác và phương trình lượng giác (8)
    yêu cầu: Vận dụng được các công thức và phương trình lượng giác để giải quyết bài toán tổng hợp.
  u12x DS 3 | Cho hàm số y = f(x) = \frac{1}{2}\cos 2x + \frac{1}{2}.
  k3z4 DS 3 | Cho hai hàm số f(x) = \sin x; g(x) = \sin 3x.
  w0k5 TLN 4 | Tìm số giá trị nguyên của tham số m để phương trình: (3\cos x - 2)(2025\cos x + 3m - 1) = 0 có 3 nghiệm phân b
  okjz DS 2 | Cho hàm số  y = f(x) = \frac{1}{2}\cos 2x + \frac{1}{2}.
  kd58 DS 3 | Cho các hàm số sau f(x) = \sin x và g(x) = \cos 2x. Khi đó, các mệnh đề sau đúng hay sai?
  v9kt DS 3 | Cho hàm số y = \sqrt{2}\cos(2x + \frac{\pi}{4}) + \sin(2x - \frac{\pi}{2}).
  mabz DS 3 | Cho phương trình lượng giác 2\cos(x + \frac{\pi}{3}) - m + 1 = 0, trong đó m \in {R} là tham số.
  zrdt DS 3 | Cho hàm số y = f(x) = \sin(2x + \frac{\pi}{3}).

### [20] Bài 5. Ôn tập chương | Đổi đơn vị đo góc, độ dài cung tròn (1)
    yêu cầu: Tính được độ dài cung tròn khi biết bán kính và số đo của cung đó.
  ol65 NLC 2 | Tính độ dài của cung trên đường tròn có bán kính R = 20(cm) và số đo \alpha = \frac{2\pi}{5}

### [21] Bài 5. Ôn tập chương | Xác định số đo của góc lượng giác (3)
    yêu cầu: Tính được số đo của góc lượng giác khi biết mối quan hệ giữa các góc lượng giác.
  lv8m NLC 2 | Cho góc lượng giác (Ox, Ou) = -50^\circ và một góc lượng giác (Ox, Ov) = 120^\circ. Số đo của góc lượng giác (
  c3py NLC 2 | Trên đường tròn lượng giác điểm gốc A, điểm M thuộc đường tròn sao cho góc lượng giác (OA, OM) có số đo 55^\ci
  qxeu NLC 2 | Cho góc lượng giác (Ou, Ov) có số đo là \frac{2\pi}{3}, góc lượng giác (Ou, Ow) có số đo là \frac{11\pi}{12}. 

### [22] Bài 5. Ôn tập chương | Sử dụng công thức biến đổi tổng thành tích, tích thành tổng (2)
    yêu cầu: Rút gọn được biểu thức và tính giá trị lượng giác bằng công thức biến đổi tổng thành tích, tích thành tổng.
  2mv2 NLC 3 | Rút gọn biểu thức B = \frac{\sin 2\alpha + \sin 4\alpha + \sin 6\alpha}{1 + \cos 2\alpha + \cos 4\alpha}, ta đ
  b5he NLC 2 | Biết \cos 2x = \frac{2}{3}. Tính \sin(x - \frac{\pi}{3})\cdot\sin(x + \frac{\pi}{3}).

### [23] Bài 5. Ôn tập chương | Giải phương trình sin x = a, cos x = a (5)
    yêu cầu: Giải được phương trình lượng giác cơ bản dạng sin x = a, cos x = a và tính các nghiệm trên một khoảng cho trước.
  9pok NLC 2 | Gọi a, b lần lượt là nghiệm dương nhỏ nhất và nghiệm âm lớn nhất của phương trình \sin(2x - \frac{\pi}{5}) = 0
  dh9h NLC 1 | Nghiệm của phương trình \cos(x - \frac{\pi}{3}) = \frac{\sqrt{3}}{2} là
  o00j TLN 3 | Tổng tất cả các nghiệm của phương trình \sin(\cos 2x) = 0 trên [0; 2\pi] bằng (kết quả làm tròn đến hàng phần 
  nik5 NLC 3 | Tính tổng các nghiệm của phương trình 2\cos(x - \frac{\pi}{4}) + \sqrt{2} = 0 trên (-\pi; \frac{3\pi}{2}).
  tpn9 DS 3 | Cho phương trình (2\sin x - 1)(\cos x + 1) = 0.

### [24] Bài 5. Ôn tập chương | Chu kì và đồ thị của hàm số lượng giác (4)
    yêu cầu: Sử dụng được đồ thị hàm số lượng giác để xác định số nghiệm của phương trình hoặc số giao điểm của các đường.
  skzs NLC 2 | Cho đồ thị hàm số y = \cos x. ![Hình ảnh](https://cmjithgtecypxmisbzvw.supabase.co/storage/v1/object/public/le
  kioc NLC 2 | Dùng đồ thị hàm số, cho biết số nghiệm của phương trình \sin x = \frac{1}{3} trên đoạn [-2\pi; \frac{5\pi}{2}]
  z6yj NLC 2 | Cho đồ thị hàm số y = \sin x trên đoạn [-\pi; \pi] như hình vẽ. ![Hình ảnh](https://cmjithgtecypxmisbzvw.supab
  fw2g NLC 1 | Cho đồ thị hàm số y = \sin x trên đoạn [-\pi; \pi]. ![Hình ảnh](https://cmjithgtecypxmisbzvw.supabase.co/stora

### [25] Bài 5. Ôn tập chương | Sử dụng công thức cộng, công thức nhân đôi (4)
    yêu cầu: Tính được giá trị của biểu thức lượng giác bằng cách áp dụng công thức cộng và công thức nhân đôi.
  8chl NLC 2 | Cho \cos a = \frac{1}{3}, khi đó giá trị của \cos 2a bằng:
  jbwz NLC 2 | Giá trị của biểu thức \cos\frac{\pi}{7}\cos\frac{\pi}{42} - \sin\frac{\pi}{7}\sin\frac{\pi}{42} là
  d399 NLC 2 | Cho \cos 2a = \frac{2}{3} với \frac{\pi}{2} < a < \pi. Khi đó \sin a bằng
  z2qm NLC 2 | Cho a, b \in (0; \frac{\pi}{2}). Biết \cos a = \frac{1}{3}, \cos b = \frac{1}{4}. Giá trị \cos(a+b)\cdot\cos(a

### [26] Bài 5. Ôn tập chương | Tính giá trị lượng giác của một góc, rút gọn biểu thức lượng giác (2)
    yêu cầu: Rút gọn được biểu thức lượng giác và tính giá trị của biểu thức bằng các hằng đẳng thức lượng giác cơ bản.
  2xwt TLN 3 | Khi A có nghĩa, biểu thức A = \frac{\cos^2 x - \sin^2 y}{\sin^2 x \sin^2 y} - \cot^2 x \cot^2 y có giá trị bằn
  x6cg NLC 3 | Rút gọn biểu thức A = \frac{1 + \cos x + \cos 2x + \cos 3x}{2\cos^2 x + \cos x - 1}

### [27] Bài 5. Ôn tập chương | Tìm tập xác định, tính chẵn lẻ của hàm số lượng giác (2)
    yêu cầu: Xác định được tập xác định và xét được tính chẵn, lẻ của một hàm số lượng giác cho trước.
  fldb NLC 2 | Cho các hàm số 1) y = \sin x. 2) y = \sin x - \tan x. 3) y = \sin^2 x. 4) y = \cot 2x. 5) y = \cos x + \cot x.
  5vye NLC 2 | Tìm tập xác định của hàm số y = 3\tan^2(\frac{x}{2} - \frac{\pi}{4}).

### [28] Bài 5. Ôn tập chương | Giải tam giác và ứng dụng thực tế (1)
    yêu cầu: Vận dụng được hệ thức lượng trong tam giác để tính chiều cao, khoảng cách và giải quyết các bài toán đo đạc thực tế.
  06xu TLN 4 | Hai chung cư cao tầng với độ cao đều là 90m xây cạnh nhau với khoảng cách giữa chúng là HK = 20m. Để đảm bảo a

### [29] Bài 5. Ôn tập chương | Tính các giá trị lượng giác của một góc lượng giác (2)
    yêu cầu: Tính được các giá trị lượng giác của một góc khi biết một giá trị lượng giác của góc đó.
  atmy NLC 2 | Cho \sin \alpha = \frac{1}{3}, \frac{\pi}{2} < \alpha < \pi. Tính \tan \alpha.
  83ip NLC 2 | Cho \sin \alpha = \frac{4}{5}, \frac{\pi}{2} < \alpha < \pi. Giá trị của biểu thức P = \frac{2\cot \alpha - \t

### [30] Bài 5. Ôn tập chương | Giá trị lớn nhất và giá trị nhỏ nhất của hàm số lượng giác (4)
    yêu cầu: Tìm được giá trị lớn nhất, giá trị nhỏ nhất của hàm số lượng giác và giải bài toán chứa tham số liên quan.
  1bpk TLN 3 | Tìm số giá trị nguyên âm của tham số m để hàm số f(x) = \sqrt{3}\sin x - \cos x + 2m + 2025 nhận giá trị không
  rlwr TLN 2 | Giá trị lớn nhất của hàm số y = f(x) = \sin^2 x + 4\sin x - 5 trên [0; \frac{\pi}{2}] là
  kldm TLN 2 | Giá trị lớn nhất của hàm số y = \sin^2 x + \cos x - 3 là
  kkve NLC 2 | Gọi M, m lần lượt là giá trị lớn nhất và giá trị nhỏ nhất của hàm số y = 5\sin(x+\frac{\pi}{6}) + 9. Tính tổng

### [31] Bài 5. Ôn tập chương | Bài toán thực tế ứng dụng hàm số lượng giác (6)
    yêu cầu: Giải quyết được bài toán thực tế liên quan đến dao động điều hòa hoặc chuyển động tròn bằng cách ứng dụng hàm số lượng giác.
  4c8b DS 3 | Trong hình bên, vị trí cabin mà Bình và Cường ngồi trên vòng quay được đánh dấu với điểm B và C. ![Hình ảnh](h
  5nwh DS 3 | Giả sử một vật dao động điều hoà xung quanh vị trí cân bằng theo phương trình x = 3\cos(2t - \frac{\pi}{3}). Ở
  u1yy TLN 3 | Mực nước cao nhất tại một cảng biển là 16m khi thủy triều lên cao và sau 12 giờ khi thủy triều xuống thấp thì 
  ellh TLN 4 | Hình vẽ bên dưới là hai bánh răng của một động cơ, chúng có cùng kích thước. Khi động cơ hoạt động, hai bánh r
  u6u1 TLN 3 | Hằng ngày, mực nước của con kênh lên xuống theo thủy triều. Độ sâu h(m) của mực nước trong kênh tính theo thời
  jcmu TLN 3 | Một chiếc guồng nước có dạng hình tròn bán kính 2,5m; trục của nó đặt cách mặt nước 2m (hình bên). Khi guồng q
