Chương 3. Tứ giác · lớp 8 · 32 dạng · 269 câu


### [1] Bài 1. Tứ giác | Tính số đo góc (25)
    yêu cầu: Tính được số đo các góc của một tứ giác dựa vào định lí tổng các góc trong một tứ giác.
  clqn NLC 1 | Khẳng định nào sau đây là "SAI": Trong hình chữ nhật …………… A. hai cạnh đối song song và bằng nhau B. hai đường
  m7dr NLC 1 | Đường trung tuyến ứng với cạnh huyền của một tam giác vuông có tính chất nào sau đây? A. Bằng một cạnh góc vuô
  cwgo NLC 2 | Hình chữ nhật có kích thước hai cạnh kề là 5cm và 12cm. Độ dài đường chéo của hình chữ nhật là: A. 7cm B. 13cm
  owcg NLC 2 | Cho tam giác ABC vuông tại B, có M là trung điểm của AC. Biết AB = 3cm, BC = 4cm. Độ dài BM là: A. 2cm B. 2,5c
  4h3e NLC 2 | Hình chữ nhật ABCD có O là giao điểm của hai đường chéo. Biết \widehat{AOD} = 50°, tính số đo \widehat{ABO}. A

### [20] Bài 4. Hình chữ nhật | Chứng minh tứ giác là hình chữ nhật (11)
    yêu cầu: Vận dụng được dấu hiệu nhận biết hình chữ nhật để chứng minh một tứ giác cho trước là hình chữ nhật.
  ljqn TL 2 | Cho tam giác ABC cân tại A. Hai đường trung tuyến BD, CE cắt nhau tại G. Trên tia đối của DB lấy điểm F sao ch
  7fav TL 3 | Cho tam giác ABC cân tại A. từ một điểm D trên đáy BC, vẽ đường thẳng vuông góc với BC, cắt các đường thẳng AC
  53xt NLC 3 | Trong các cách chứng minh một tứ giác ABCD là hình chữ nhật dưới đây, cách nào là "SAI"? A. ABCD có \widehat{A
  wcxm TL 3 | Cho tam giác nhọn ABC (AB < AC), đường cao AH. I là trung điểm của AC, lấy điểm E sao cho I là trung điểm của 
  ncup TL 4 | Cho \Delta ABC vuông tại A (AB < AC) có AH là đường cao. Gọi P và Q lần lượt là hình chiếu của H lên AB, AC. a
  98br TL 3 | Cho tam giác ABC vuông cân tại A. Trên các cạnh AB, AC lấy lần lượt các điểm H, K sao cho HB = AK. Từ điểm H v
  7nb5 TL 4 | Cho tam giác ABC vuông tại A (AB < AC), trung tuyến AM. Lấy E và F lần lượt là trung điểm của AB và AC. a) Chứ
  j49j TL 4 | Cho \Delta ABC vuông tại A (AB < AC), M là trung điểm của BC. Gọi D, E lần lượt là chân đường vuông góc kẻ từ 
  2npn TL 3 | Cho \Delta ABC vuông tại A có AB < AC. Gọi M là trung điểm của BC. Trên tia đối của tia MA lấy điểm D sao cho 
  ke0b TL 3 | Cho tam giác  ABC vuông tại  A, đường cao  AH. Kẻ  HM vuông góc  AB,  HN vuông góc với  AC ( M thuộc  AB,  N t
  89h0 TL 4 | Cho  \Delta ABC vuông tại  A có  AB < AC, đường cao  AH và trung tuyến  AE. Gọi  D, F lần lượt là chân đường v

### [21] Bài 5. Hình thoi và hình vuông | Chứng minh 3 điểm thẳng hàng, 3 đường thẳng đồng quy (1)
    yêu cầu: Vận dụng tính chất của các tứ giác đặc biệt để chứng minh ba điểm thẳng hàng hoặc ba đường thẳng đồng quy.
  75l9 TL 3 | Cho hình thoi ABCD có hai đường chéo cắt nhau tại O. Vẽ hình bình hành ACEF trong đó CE bằng cạnh của hình tho

### [22] Bài 5. Hình thoi và hình vuông | Dấu hiệu nhận biết hình thoi (10)
    yêu cầu: Nhận biết được các dấu hiệu để chứng minh một tứ giác là hình thoi.
  9xyd NLC 2 | [HÌNH VẼ] Cho hình vẽ sau, để chứng minh EFGH là hình thoi ta cần chứng minh thêm? A. EF = GH B. EF // GH C. E
  7gqd TL 3 | Cho tam giác ABC, D là một điểm trên cạnh BC. Vẽ DE \parallel AB, DF \parallel AC (E \in AC; F \in AB). Xác đị
  clsm TL 3 | Cho tam giác ABC, M và N lần lượt là trung điểm của AC và BC. Vẽ điểm D đối xứng với M qua N. a) Chứng minh rằ
  ctdl TL 3 | Cho tam giác ABC, hai đường cao BD và CE cắt nhau tại H. Đường thẳng qua B và vuông góc với AB cắt đường thẳng
  1h18 TL 2 | Xác định dạng của một tứ giác, biết rằng a) Tứ giác đó có hai trục đối xứng vuông góc với nhau và không đi qua
  uish TL 4 | Tứ giác ABCD có các đường chéo cắt nhau tại O và chu vi các tam giác OAB, OBC, OCD, ODA bằng nhau. Chứng minh 
  j139 NLC 2 | Trong các dấu hiệu chứng minh hình thoi sau, dấu hiệu SAI là: A. Tứ giác có bốn cạnh bằng nhau là hình thoi B.
  fenj NLC 1 | "Tứ giác có ...... là hình thoi." A. hai cạnh đối song song và bằng nhau B. bốn góc vuông. C. bốn cạnh bằng nh
  oa5l NLC 2 | [HÌNH VẼ] Tứ giác này là hình thoi theo dấu hiệu nào? A. Tứ giác có bốn cạnh bằng nhau. B. Tứ giác có hai đườn
  xqdq NLC 2 | [HÌNH VẼ] Cho hình vẽ sau, để chứng minh MNPQ là hình thoi ta cần chứng minh thêm? A. MP = NQ. B. MP \perp NQ.

### [23] Bài 5. Hình thoi và hình vuông | Chứng minh tứ giác là hình thoi (11)
    yêu cầu: Giải thích được một tứ giác cho trước là hình thoi dựa vào các dấu hiệu nhận biết.
  vycv TL 2 | Cho hình thoi ABCD, hai đường chéo cắt nhau tại O. Trên OC lấy một điểm K. Đường thẳng qua K và song song với 
  2hni TL 2 | Cho tam giác ABC cân tại A. Hai đường trung tuyến BD và CE cắt nhau tại G. Vẽ điểm F đối xứng với A qua G. Chứ
  u802 TL 3 | Cho tam giác ABC cân tại A. Vẽ các đường cao BD và CE. Gọi M, N lần lượt là trung điểm của BC và DE. Vẽ MH \pe
  16tf NLC 3 | Cho tam giác ABC vuông ở A, trung tuyến AM. Gọi D là trung điểm của AB, M' là điểm đối xứng với M qua D. Cách 
  bbst TL 3 | Cho góc nhọn xOy, tia phân giác Ot. Từ điểm M thuộc Ot kẻ MA // Oy và MB // Ox (với A \in Ox, B \in Oy). Chứng
  mcs7 TL 3 | Cho \Delta BAC cân tại B có đường cao BE. Trên tia đối của tia EB lấy điểm D sao cho ED = EB. Chứng minh tứ gi
  1p2f TL 4 | Cho hình bình hành ABCD có AC vuông góc với BC tại C. Gọi E, F theo thứ tự là trung điểm của các cạnh AB, CD. 
  bn1i TL 4 | Cho hình chữ nhật ABCD có P, Q lần lượt là trung điểm của BC và AD. Gọi M là giao điểm của AP và BQ; N là giao
  fkf2 TL 4 | Cho tam giác ABC có ba góc nhọn, các đường cao AD, BE. Tia phân giác của \widehat{DAC} cắt BE, BC theo thứ tự 
  hw8l TL 4 | Cho hình bình hành ABCD. Trên các cạnh AB và CD lần lượt lấy các điểm M và N sao cho AM = DN. Đường trung trực
  8zfx TL 4 | Cho \Delta ABC cân tại A, đường cao AD. M là một điểm bất kì trên cạnh BC. Từ M vẽ ME vuông góc với AB tại E, 

### [24] Bài 5. Hình thoi và hình vuông | Chứng minh tứ giác là hình vuông (11)
    yêu cầu: Giải thích được một tứ giác cho trước là hình vuông dựa vào các dấu hiệu nhận biết.
  1bit TL 2 | Cho tam giác ABC vuông tại A, đường trung tuyến AM. Gọi N là trung điểm của AC. Vẽ điểm D đối xứng với M qua N
  hvlb TL 3 | Cho hình vuông ABCD. Trên cạnh BC lấy điểm E. Vẽ hình vuông CEFG ra phía ngoài hình vuông ABCD. Vẽ EK \perp AC
  betu TL 3 | Cho tam giác ABC cân tại A, đường cao AH. Các đường trung tuyến BD, CE cắt nhau tại G. Gọi M và N là trung điể
  8qo3 TL 4 | Cho hình thoi ABCD, gọi O là giao điểm của hai đường chéo. Trên cạnh AB, BC, CD, DA lấy theo thứ tự các điểm M
  qgso TL 4 | Cho hình vuông ABCD. Trên cạnh AB, BC, CD, DA lần lượt lấy các điểm E, F, G, H sao cho AE = BF = CG = DH. Chứn
  bzvr TL 4 | Cho hình chữ nhật ABCD có AB = 2AD. Gọi E, F theo thứ tự là trung điểm của AB, CD. Gọi M là giao điểm của AF v
  tv82 TL 4 | Cho hình chữ nhật ABCD (AD < AB < 2AD). Vẽ các tam giác vuông cân ABI, CDK (\widehat{I} = \widehat{K} = 90°), 
  k4zg TL 4 | Cho tam giác ABC cân tại A (\widehat{A} < 90°), các đường cao BD và CE cắt nhau tại H. Tia phân giác của góc A
  8h7t TL 3 | Cho tam giác ABC vuông tại A. Đường phân giác AD (D \in BC). Gọi M, N theo thứ tự là chân đường vuông góc hạ t
  5kgk TL 3 | Cho \Delta ABC vuông cân tại A. Trên cạnh BC lấy hai điểm H, G sao cho BH = HG = GC. Qua H và G kẻ các đường t
  nnqy TL 2 | Cho hình vuông  ABCD, trên các cạnh  AB, BC, CD, DA lần lượt lấy  M, N, P, Q sao cho  AM = BN = CP = DQ. Chứng

### [25] Bài 5. Hình thoi và hình vuông | Chứng minh quan hệ bằng nhau (10)
    yêu cầu: Tính được độ dài cạnh hoặc chu vi của hình thoi dựa vào độ dài hai đường chéo cho trước.
  yefg NLC 1 | Hình thoi có chu vi bằng 20cm thì độ dài cạnh của nó bằng: A. 4cm B. 5cm C. 8cm D. Cả A, B, C đều sai.
  ge4j NLC 2 | Hình thoi có độ dài hai đường chéo là 24cm và 10cm thì cạnh của hình thoi đó bằng: A. 12cm B. 13cm C. 14cm D. 
  39pa NLC 3 | [HÌNH VẼ] Cho hình thoi ABCD. Biết đường cao AH kẻ từ đỉnh A đến cạnh CD chia cạnh đó thành hai đoạn bằng nhau
  i7gq TL 3 | Cho hình thoi ABCD, đường cao AH. Lấy điểm M ở trong hình thoi. Vẽ ME \perp AB, MF \perp BC. Biết ME + MF = AH
  e5yq NLC 1 | Cho hình vuông có chu vi 28cm. Độ dài cạnh hình vuông là: A. 4cm B. 7cm C. 14cm D. 8cm
  rah8 NLC 2 | Một hình vuông có chu vi là 32cm. Hỏi diện tích hình vuông bằng? A. 49cm^2 B. 64cm^2 C. 14cm^2 D. 32cm^2
  1z7g NLC 3 | Cho hình vuông ABCD. M, N, P, Q là trung điểm các cạnh AB, BC, CD, DA. Hãy chọn câu "Đúng" A. S_{MNPQ} = \dfra
  b72k TL 4 | Cho hình thoi ABCD có \widehat{A} = 60°, kẻ BH \perp AD (H \in AD), rồi kéo dài một đoạn HE = HB. Nối E với A,
  3fku NLC 1 | Khẳng định nào sau đây là "SAI"? Trong hình thoi …………… A. hai cạnh đối song song và bằng nhau B. hai góc đối b
  hhbz NLC 2 | Cho hình thoi ABCD, O là giao điểm của AC và BD. Khẳng định nào sau đây là "SAI"? A. AB = BC = CD = DA B. AB \

### [26] Bài 5. Hình thoi và hình vuông | Chứng minh quan hệ vuông góc (3)
    yêu cầu: Vận dụng được tính chất của hình chữ nhật, hình thoi, hình vuông để chứng minh hai đường thẳng vuông góc trong một hình cụ thể.
  7ww7 TL 3 | Cho hình vuông ABCD, hai đường chéo cắt nhau tại O. Trên các cạnh BC và CD lần lượt lấy các điểm M và N sao ch
  w3ax TL 3 | Cho đoạn thẳng AB, trên đó lấy các điểm M và N sao cho AM = BN. Trên cùng một nửa mặt phẳng bờ AB, vẽ các tia 
  buio TL 3 | Cho hình vuông ABCD. Lấy các điểm E, F theo thứ tự thuộc các cạnh CD, DA sao cho DE = AF. a) Chứng minh rằng A

### [27] Bài 5. Hình thoi và hình vuông | Tính chất và bài tập hình thoi, hình vuông (32)
    yêu cầu: Nhận biết được các tính chất về cạnh, góc, đường chéo và trục đối xứng của hình vuông.
  nj7t NLC 2 | Cho hình vuông MNPQ, hai đường chéo cắt nhau tại O. Khẳng định nào sau đây là "Sai"? A. MP \perp NQ tại O. B. 
  berz NLC 1 | Hình vuông có bao nhiêu trục đối xứng? A. Không có trục đối xứng. B. Có 3 trục đối xứng. C. Có 2 trục đối xứng
  bq0l TL 2 | Hình thoi ABCD có \widehat{A} = 30^{\circ}, đường cao BH = 1,5 cm. Tính chu vi của hình thoi.
  1d2a TL 3 | Cho hình vuông ABCD cạnh a, hai đường chéo cắt nhau tại O. Qua O vẽ đường thẳng d bất kỳ. Gọi A', B', C', D' l
  n5ig TL 2 | Cho hình bình hành ABCD, AC \perp AD. Gọi E và F là trung điểm của AB và CD. cho biết hình dạng của tứ giác AE
  dt7q TL 3 | Cho hình thoi ABCD, góc A có số đo bằng 50^{\circ}. Vẽ BH \perp AD, BK \perp CD, DE \perp AB, DF \perp BC. Gọi
  evvm TL 3 | Cho tam giác ABC, AB < BC. Từ một điểm D nằm trên cạnh BC, vẽ một đường thẳng song song với AB. Từ A vẽ một đư
  khl8 TL 3 | Cho hình bình hành ABCD, AB = 2AD, D = 70^{\circ}. Gọi H là hình chiếu của B trên AD, M là trung điểm của CD. 
  v40t TL 3 | Gọi O là giao điểm của các đường chéo hình thoi ABCD, E và F theo thứ tự là hình chiếu của O trên BC và CD. Tí
  g6jz TL 4 | Gọi M là điểm bất kì trên đoạn thẳng AB. Vẽ về một phía của AB các hình vuông AMCD, BMEF. a) Chứng minh rằng A
  nbjq TL 4 | Cho tứ giác ABCD. Gọi E, F, H theo thứ tự là tâm các hình vuông có cạnh AB, BC, CD, DA dựng phía ngoài tứ giác
  ck1j TL 4 | Cho bốn điểm E, G, F, H. Dựng hình vuông ABCD có bốn đường thẳng chứa cạnh đi qua bốn điểm E, G, F, H.
  omb1 TL 4 | Cho ba đường thẳng a, b, c. Dựng hình vuông ABCD có A thuộc a, C thuộc b còn B và D thuộc d.
  f07a TL 2 | Chu vi của hình thoi ABCD là 24 cm, BD = 6 cm. a) Tính số đo các góc của hình thoi đó. b) Tính độ dài đường ch
  s31z TL 2 | Cho hình thoi ABCD cạnh dài 4 cm, \widehat{A} = 60^{\circ}. Gọi M, N lần lượt là trung điểm của AD và CD. a) C
  uv5a TL 4 | Cho hình vuông ABCD cạnh a. Trên cạnh BC lấy điểm M, trên tia đối của DC lấy điểm N sao cho BM = DN. a) Tính s
  o39b TL 3 | Cho hình vuông ABCD. Vẽ vào trong hình vuông này tam giác đều MCD. a) Tính số đo góc \widehat{MAB} và \widehat
  k0ba TL 3 | Cho hình vuông ABCD. Trên cạnh AB lấy điểm E, trên tia đối của BA lấy điểm F, trên tia đối với CB lấy điểm G s
  z4k0 TL 3 | Cho hình vuông ABCD. Gọi M và N lần lượt là trung điểm của BC và CD. a) Chứng minh AN = DM và AN \perp DM. b) 
  tnwi TL 4 | Cho hình bình hành ABCD. Gọi M là giao điểm các đường phân giác của góc A, góc B. Gọi N là giao điểm các đường
  isqh TL 4 | Cho hình vuông ABCD. Trên cạnh AB lấy điểm E, trên cạnh CD lấy điểm F sao cho AE = CF. Gọi O là trung điểm của
  6ryi TL 3 | Cho hình vuông ABCD, điểm M nằm trên đường chéo AC. Gọi E, F theo thứ tự là các hình chiếu của M trên AD, CD. 
  n7tj TL 3 | Cho hình vuông ABCD. Điểm E nằm trong hình vuông sao cho tam giác ECD cân có góc đáy bằng 15^{\circ}. Chứng mi
  8g42 TL 4 | Cho \triangle ABC cân tại A, góc đáy 75^{\circ} và hình vuông BDEC (các điểm A, D, E nằm cùng phía đối với BC)
  7alq TL 4 | Cho hình vuông ABCD, điểm E thuộc cạnh CD, điểm F thuộc cạnh BC. Chứng minh rằng chu vi \triangle CEF bằng nửa
  ddr3 TL 4 | Cho hình vuông ABCD, điểm M thuộc cạnh AB. Tia phân giác của góc \widehat{MCD} cắt cạnh AD ở N. Cho biết BM = 
  cmoe TL 3 | Cho hình vuông ABCD. Lấy các điểm E, F theo thứ tự thuộc các cạnh AD, AB sao cho AE = AF. Gọi H là hình chiếu 
  0332 TL 4 | Cho điểm M thuộc cạnh CD của hình vuông ABCD. Tia phân giác của góc \widehat{ABM} cắt AD ở I. Chứng minh BI \l
  tlfn TL 4 | Cho ba điểm E, O, F. Dựng hình vuông ABCD nhận O là giao điểm hai đường chéo, E và F thứ tự thuộc a) Các đường
  y308 TL 4 | Cho hình vuông ABCD. Trên tia đối của tia BA lấy điểm E, trên tia đối của tia CB lấy điểm F sao cho AE = CF. a
  6av6 TL 3 | Cho hình thoi  ABCD có  O là giao điểm của  2 đường chéo. Trên các cạnh  AB, BC, CD, DA lần lượt lấy các điểm 
  0b9d TL 4 | Cho hình vuông  ABCD. Gọi  O là giao điểm của hai đường chéo. Một đường thẳng qua  O cắt cạnh  AD tại  P, cắt 

### [28] Bài 5. Hình thoi và hình vuông | Chứng minh 2 đoạn thẳng bằng nhau, các quan hệ về độ dài. Tính độ dài đoạn thẳng (1)
    yêu cầu: Vận dụng tính chất của hình thoi và hình vuông để chứng minh hai đoạn thẳng bằng nhau hoặc tính độ dài đoạn thẳng.
  g90u TL 2 | Cho hình bình hành ABCD. Gọi E và F lần lượt là trung điểm của BC và CD. Đường chéo BD cắt AE và AF lần lượt t

### [29] Bài 5. Hình thoi và hình vuông | Chứng minh 2 góc bằng nhau, 2 đoạn thẳng bằng nhau (2)
    yêu cầu: Vận dụng tính chất của hình thoi và hình vuông để chứng minh hai đoạn thẳng bằng nhau hoặc hai góc bằng nhau.
  64qw TL 3 | Cho hình thoi ABCD, \widehat{A} = 50^\circ. Gọi M và N lần lượt là trung điểm của BC và AD. Vẽ BH \perp CN a) 
  2zo0 TL 3 | Cho hình vuông ABCD, điểm M trên cạnh CD. Tia phân giác của góc \widehat{BAM} cắt BC tại N. Trên tia đối của t

### [30] Bài 5. Hình thoi và hình vuông | Nhận dạng tứ giác (3)
    yêu cầu: Nhận biết được tứ giác lồi và tứ giác không lồi thông qua hình vẽ cho trước.
  bhd6 TL 2 | Cho tam giác \Delta ABC vuông tại A. Gọi M là trung điểm của BC, và D là điểm đối xứng với M qua AC. a) Tứ giá
  k3t2 TL 3 | Cho hình thoi ABCD. Hai đường chéo cắt nhau tại O. Đường thẳng qua O và vuông góc với AB cắt AB tại H, cắt CD 
  hd14 TL 3 | Cho hình vuông ABCD cạnh a. Trên đường chéo AC lấy một điểm M. Vẽ ME \perp CD; MF \perp AD. a) Chứng minh rằng

### [31] Bài 5. Hình thoi và hình vuông | Dấu hiệu nhận biết hình vuông (8)
    yêu cầu: Giải thích được dấu hiệu nhận biết một tứ giác là hình vuông dựa vào định nghĩa và tính chất.
  dxin NLC 1 | Định nghĩa đúng về hình vuông là…. A. tứ giác có bốn góc vuông. B. tứ giác có bốn cạnh bằng nhau. C. tứ giác c
  qcpk TL 4 | Cho tam giác ABC vuông cân tại A, BC = a. Trên đáy BC lấy hai điểm M và N sao cho BM = CN < \frac{a}{2}. Vẽ MQ
  wfn5 NLC 2 | Để chứng minh một hình chữ nhật là hình vuông cách nào sau đây là "SAI"? A. Hình chữ nhật có hai cạnh kề bằng 
  e5cb NLC 2 | Để chứng minh một hình thoi là hình vuông cách nào sau đây là "ĐÚNG"? A. Hình thoi có hai đường chéo vuông góc
  s0ni NLC 2 | Trong các khẳng định sau, khẳng định SAI là: A. Hình thoi có hai đường chéo góc vuông là hình vuông. B. Hình t
  4a7n NLC 3 | [HÌNH VẼ] Cho hình vẽ , tứ giác ABCD là hình vuông theo dấu hiệu: A. Hình thoi có một góc vuông. B. Hình chữ n
  5y43 NLC 3 | Cho tam giác ABC vuông tại A. Lấy N \in BC. Gọi M, P lần lượt là hình chiếu của N trên AB, AC. Tam giác ABC cầ
  xu14 NLC 3 | Cho tam giác ABC cân tại A, đường trung tuyến AM. Gọi I là trung điểm của AC. K là điểm đối xứng với M qua điể

### [32] Bài 6. Ôn tập chương | Bài tập tổng hợp chương 3 (0)
    yêu cầu: Vận dụng tổng hợp kiến thức của chương 3 để giải các bài toán ôn tập, kiểm tra cuối chương.
