Chương 2. Hằng đẳng thức đáng nhớ và ứng dụng · lớp 8 · 38 dạng · 377 câu


### [1] Bài 1. Hiệu 2 bình phương. Bình phương của một tổng hay một hiệu | Tìm giá trị nhỏ nhất, lớn nhất (30)
    yêu cầu: Vận dụng được hằng đẳng thức bình phương của một tổng hoặc một hiệu để tìm giá trị lớn nhất hoặc nhỏ nhất của biểu thức.
  haey NLC 1 | Cho (x-2)^3=x^3-\dots+12x-8. Điền đơn thức phù hợp vào chỗ trống.
  03ub NLC 1 | Khai triển (x+3)^3 ta được:
  4sc2 NLC 2 | Để đa thức x^3+6x^2+12x+m là lập phương của một tổng thì giá trị của m là:
  h3o9 NLC 2 | Cho biểu thức M=27x^3-135x^2+225x-130. Chọn phương án đúng nhất.
  5zxj TL 1 | Điền vào ô trống và chỗ "..." để hoàn thành phép tính sau: (x+5)^3=x^3+3 \cdot [?] \cdot [?] + 3 \cdot x \cdot
  ct4o TL 1 | Điền vào ô trống và chỗ "..." để hoàn thành phép tính sau: (x-\frac{1}{2})^3 = \dots^3 - [?]x^2 \cdot [?] + 3 
  nbg9 TL 1 | Điền vào ô trống và chỗ "..." để hoàn thành phép tính sau: (\frac{1}{2}x+y^2)^3 = \dots
  2ugz TL 1 | Viết biểu thức sau về lập phương của một tổng hoặc lập phương của một hiệu: 27y^3-9y^2+y-\frac{1}{27}.
  bz9f TL 1 | Viết biểu thức sau về lập phương của một tổng hoặc lập phương của một hiệu: x^3+\frac{3}{2}x^2+\frac{3}{4}x+\f
  57zd TL 1 | Viết biểu thức sau về lập phương của một tổng hoặc lập phương của một hiệu: x^3-\frac{3}{5}x^2+\frac{3}{25}x-\
  8onk TL 1 | Viết biểu thức sau về lập phương của một tổng hoặc lập phương của một hiệu: 8x^6+12x^4y+6x^2y^2+y^3.
  32cj TL 2 | Tính nhanh giá trị biểu thức sau: D = 98^3 + 6 \cdot 98^2 + 12 \cdot 98 + 8.
  bj3d TL 1 | Tính: (y - 2)^3.
  0eus TL 1 | Tính: (x - 3y)^3.
  vvcf TL 1 | Tính: (2x + \frac{1}{3})^3.
  rbvw TL 1 | Tính: (2x^2 + 3y)^3.
  bijm TL 2 | Tính nhanh: E = 203^3 - 9 \cdot 203^2 + 27 \cdot 203 - 27.
  3of6 NLC 2 | Viết biểu thức x^3+12x^2+48x+64 dưới dạng lập phương của một tổng ta được:
  j96b TL 2 | Tính nhanh giá trị biểu thức sau: C = 101^3.
  apy4 NLC 1 | x^3+3x^2+3x+1=
  tfgr TL 1 | Điền vào ô trống và chỗ "..." để hoàn thành phép tính sau: (x^2-3)^3 = (x^2)^3-3(\dots)^2 \cdot [?] + 3x^2 \cd

### [14] Bài 2. Lập phương của một tổng hay một hiệu | Tìm x thoả mãn đẳng thức (1)
    yêu cầu: Vận dụng được hằng đẳng thức lập phương của một tổng hoặc một hiệu để tìm biến số thỏa mãn đẳng thức cho trước.
  ee17 TL 2 | Tìm x thỏa mãn (x + 1)^3 - x(x^2 + 3) = 4?

### [15] Bài 2. Lập phương của một tổng hay một hiệu | Toán tổng hợp (1)
    yêu cầu: Vận dụng tổng hợp các hằng đẳng thức đáng nhớ để giải các bài toán rút gọn, tính giá trị, chứng minh và tìm giá trị lớn nhất, nhỏ nhất.
  j9dq TL 3 | Từ một khối lập phương có cạnh bằng 2x - 1 (cm), người ta cắt bỏ một khối lập phương có cạnh bằng 2x - 3 (cm) 

### [16] Bài 2. Lập phương của một tổng hay một hiệu | Chứng minh giá trị của một biểu thức luôn dương (hay âm) với mọi giá trị của biến (0)
    yêu cầu: Vận dụng được hằng đẳng thức lập phương của một tổng hoặc một hiệu để chứng minh biểu thức luôn nhận giá trị dương hoặc âm.

### [17] Bài 2. Lập phương của một tổng hay một hiệu | Chứng minh chia hết (1)
    yêu cầu: Vận dụng được hằng đẳng thức lập phương của một tổng hoặc một hiệu để giải quyết bài toán chứng minh chia hết.
  miif TL 4 | Chứng minh rằng tích ba số nguyên dương liên tiếp không là lập phương của một số tự nhiên.

### [18] Bài 2. Lập phương của một tổng hay một hiệu | Chứng minh đẳng thức (1)
    yêu cầu: Vận dụng được hằng đẳng thức lập phương của một tổng hoặc một hiệu để chứng minh một đẳng thức đại số.
  vn6j TL 3 | Chứng minh đẳng thức: (x+y)^3-(x-y)^3=2y(3x^2+y^2).

### [19] Bài 3. Tổng và hiệu 2 lập phương | Tìm x thoả mãn đẳng thức (1)
    yêu cầu: Vận dụng được các hằng đẳng thức đáng nhớ để biến đổi biểu thức và tìm giá trị của biến x thỏa mãn đẳng thức cho trước.
  r60b TL 3 | Tìm x, biết: (x-3)^3 - (x-3)(x^2+3x+9) + 9(x+1)^2 = 54.

### [20] Bài 3. Tổng và hiệu 2 lập phương | Chứng minh chia hết (0)
    yêu cầu: Vận dụng được các hằng đẳng thức đáng nhớ để biến đổi biểu thức và chứng minh tính chất chia hết của biểu thức số hoặc biểu thức đại số.

### [21] Bài 3. Tổng và hiệu 2 lập phương | Chứng minh đẳng thức (4)
    yêu cầu: Vận dụng được các hằng đẳng thức đáng nhớ để biến đổi và chứng minh sự bằng nhau của hai biểu thức đại số.
  6lty TL 4 | Chứng minh đẳng thức sau: (a + b + c)^3 = a^3 + b^3 + c^3 + 3(a + b)(b + c)(c + a)
  af0d TL 3 | Cho x+y=1 và xy=-1. Chứng minh rằng: x^3+y^3=4.
  kfti TL 3 | Cho x-y=1 và xy=6. Chứng minh rằng: x^3-y^3=19.
  f1xm TL 4 | Chứng minh rằng a^3+b^3+c^3-3abc = (a+b+c)(a^2+b^2+c^2-ab-bc-ca).

### [22] Bài 3. Tổng và hiệu 2 lập phương | Rút gọn và tính giá trị của biểu thức (14)
    yêu cầu: Thực hiện được việc rút gọn biểu thức đại số bằng cách sử dụng hằng đẳng thức và tính giá trị của biểu thức tại giá trị cho trước của biến.
  oacb TL 2 | Rút gọn biểu thức sau: (2x-y)(4x^2+2xy+y^2)-(2x+y)(4x^2-2xy+y^2).
  0xq7 TL 2 | Rút gọn biểu thức sau: (3x+y)(9x^2-3xy+y^2)-(3x-y)^3-27x^2y.
  3t6g TL 2 | Rút gọn biểu thức sau: (x+2)(x^2-2x+4)-(18+x^3).
  dk6d TL 3 | Cho x, y \in {R} thỏa mãn điều kiện x + y = 3; x^2 + y^2 = 17. Tính giá trị biểu thức x^3 + y^3.
  oiuj TL 3 | Cho a + b = 1. Tính giá trị của biểu thức Q = a^3 + b^3 + 3ab(a^2 + b^2) + 6a^2b^2(a + b).
  9b1m TL 3 | Rút gọn biểu thức sau: (a + b)^3 + (b + c)^3 + (a + c)^3 - 3(a + b)(b + c)(c + a)
  49wh NLC 3 | Biết rằng 2x+y=0. Biểu thức A = (x+y)^3+x^3 đạt giá trị nào sau đây?
  x91z NLC 3 | Với a=b+5 và ab=-3, giá trị của biểu thức A = a^3-b^3 là:
  1gye TL 2 | Tính nhanh giá trị của biểu thức: C = (3x-2y)(9x^2 + 6xy + 4y^2) - 27x^3 + 8y(y-3)(y+3) tại x=5, y=10.
  yk77 TL 2 | Tính nhanh giá trị của biểu thức: D = (x+4y)(x^2 - 4xy + 16y^2) - x(x-2)(x+2) - 64y^3 tại x=50, y=3.
  sbsi TL 2 | Tính nhanh giá trị các biểu thức sau: B = (2x+3y)(4x^2-6xy+9y^2) - 8x(x-1)(x+1) - 27y^3 tại x=10, y=5.
  1yyr TL 3 | Cho x + y = 1. Tính giá trị của biểu thức P = x^3 + y^3 + 3xy + 5.
  x1hd NLC 2 | Với x=-20, giá trị của biểu thức P = (x+4)(x^2-4x+16) - (64-x^3) là:
  hqoe TL 2 | Tính nhanh giá trị các biểu thức sau: A = (x-y)(x^2+xy+y^2)+2x^3+y^3-1 tại x=y=100.

### [23] Bài 3. Tổng và hiệu 2 lập phương | Toán tổng hợp (5)
    yêu cầu: Vận dụng tổng hợp các hằng đẳng thức đáng nhớ để giải các bài toán rút gọn, tính giá trị, chứng minh và tìm giá trị lớn nhất, nhỏ nhất.
  pykp TL 4 | (Đề thi HSG toán 8, Hà Đông, Hà Nội, năm 2017). a) Cho các số thực a, b, c thỏa mãn a+b+c=0. Chứng minh rằng a
  gth5 TL 4 | (Đề thi HSG lớp 8, Đông Hà, Quảng Trị năm 2017). a) Cho các số thực a, b, c. Chứng minh (a+b+c)^3-(a^3+b^3+c^3
  dulj TL 4 | HSG HUYỆN SƠN ĐỘNG NĂM HỌC 2023-2024. Cho a^3+b^3+c^3=3abc. Tính giá trị biểu thức: P = (1+\frac{a}{b})(1+\fra
  5rzy TL 4 | Với a, b, c là các số thực thỏa mãn: (3a + 3b + 3c)^3 = 24 + (3a + b - c)^3 + (3b + c - a)^3 + (3c + a - b)^3.
  nhwy TL 4 | Cho các số nguyên a, b, c thỏa mãn (a - b)^3 + (b - c)^3 + (c - a)^3 = 210. Tính giá trị của biểu thức A = |a 

### [24] Bài 3. Tổng và hiệu 2 lập phương | Chứng minh giá trị của một biểu thức luôn dương (hay âm) với mọi giá trị của biến (0)
    yêu cầu: Vận dụng được các hằng đẳng thức đáng nhớ để chứng minh một biểu thức đại số luôn nhận giá trị dương hoặc âm với mọi giá trị của biến.

### [25] Bài 3. Tổng và hiệu 2 lập phương | Chứng minh giá trị của biểu thức không phụ thuộc vào các biến (5)
    yêu cầu: Vận dụng được các hằng đẳng thức đáng nhớ để thu gọn biểu thức và chứng minh giá trị của biểu thức không phụ thuộc vào biến.
  8817 NLC 3 | Với mọi giá trị của x, giá trị của biểu thức (2x+3)(4x^2-6x+9) - 2(4x^3-1) bằng:
  z6u8 TL 3 | Chứng minh giá trị của biểu thức sau không phụ thuộc vào giá trị của biến: A=(3x+2)(9x^2-6x+4)-3(9x^3-2).
  hoo4 TL 3 | Chứng minh giá trị của biểu thức sau không phụ thuộc vào giá trị của các biến: B = (2x-y)(4x^2+2xy+y^2)-(2x+y)
  d8e9 TL 3 | Chứng minh giá trị của biểu thức sau không phụ thuộc vào giá trị của các biến: A = (2x+y)(4x^2-2xy+y^2)+(3x-y)
  bu65 TL 3 | Giá trị của biểu thức sau có phụ thuộc vào giá trị của biến không? B=(x+1)^3-(x-1)(x^2+x+1)-3x(x+1).

### [26] Bài 3. Tổng và hiệu 2 lập phương | Vận dụng hằng đẳng thức để tính (17)
    yêu cầu: Vận dụng được các hằng đẳng thức đáng nhớ để thực hiện phép nhân đa thức hoặc điền khuyết vào các hệ thức toán học.
  ssrd TL 1 | Áp dụng hằng đẳng thức tổng hai lập phương hoặc hiệu hai lập phương để tính y^3+2^3.
  nvmy TL 1 | Áp dụng hằng đẳng thức tổng hai lập phương hoặc hiệu hai lập phương để tính (x-5y^2)(x^2+5xy^2+25y^4).
  0xcn TL 1 | Điền các đơn thức thích hợp vào ô trống: (\frac{1}{2} + [?])(\frac{1}{4} - \frac{1}{6}xy + \frac{1}{9}y^2) = \
  witj NLC 1 | Hằng đẳng thức tổng hai lập phương là:
  31ki NLC 1 | Hằng đẳng thức hiệu hai lập phương là:
  ys5i NLC 1 | Cho x^3+125 = (x+5)(x^2-...+25). Chỗ "..." cần điền là:
  19pa NLC 2 | Nếu (\frac{y}{3}+5)(\frac{y^2}{9}-\frac{5}{3}y+25) = \frac{y^3}{27}+a thì giá trị của a là:
  n8xl TL 2 | Thực hiện các phép tính sau: (y-\frac{x}{y})(y^2+x+\frac{x^2}{y^2}).
  ugai TL 1 | Viết các biểu thức sau dưới dạng tích: y^3-64.
  6u3w TL 1 | Viết các biểu thức sau dưới dạng tích: x^3-\frac{1}{8}.
  e3wb TL 3 | Tính nhanh giá trị các biểu thức sau: D = \frac{2020^3-1}{2020^2+2021} - 19.
  s5m1 NLC 2 | Viết biểu thức (x-3y)(x^2+3xy+9y^2) dưới dạng hiệu hai lập phương:
  r9lm NLC 1 | Viết biểu thức x^3-27 dưới dạng tích ta được:
  u25u NLC 2 | Tổng của M và N trong hằng đẳng thức x^M - 64y^N = (x^2-4y)(x^4+4x^2y+16y^2) là:
  l83v TL 1 | Áp dụng hằng đẳng thức tổng hai lập phương hoặc hiệu hai lập phương để tính (6x+\frac{1}{2})(36x^2-3x+\frac{1}
  jely TL 1 | Điền các đơn thức hoặc các phép tính thích hợp vào ô trống: ([?] m + [?] n)(\frac{1}{4}m^2 - [?] mn + \frac{1}
  wk04 NLC 2 | Kết quả của phép tính \frac{35^3+13^3}{48} - 35 \cdot 13 là:

### [27] Bài 3. Tổng và hiệu 2 lập phương | Tìm giá trị nhỏ nhất, lớn nhất (1)
    yêu cầu: Vận dụng được hằng đẳng thức tổng và hiệu hai lập phương để biến đổi biểu thức và tìm giá trị lớn nhất hoặc giá trị nhỏ nhất của biểu thức đ
  hlgw TL 4 | Cho x+y=1. Tìm giá trị nhỏ nhất của biểu thức A=x^3+y^3+xy.

### [28] Bài 4. Phân tích đa thức thành nhân tử | Tính giá trị biểu thức (10)
    yêu cầu: Tính được giá trị của biểu thức đại số bằng cách phân tích đa thức thành nhân tử và thay thế các giá trị đã biết.
  9v43 TL 3 | Tính nhanh giá trị biểu thức sau: A=xyz-(xy+yz+zx)+x+y+z-1 với z-1=10; xy-y-x=99
  68mu TL 2 | Tính nhanh giá trị biểu thức sau: B=2x^2+2y^2-x^2z+z-y^2z-2 tại 2-z=50; x=y=2
  hrig TL 2 | Tính nhanh giá trị biểu thức sau: A=9x^2-y^2+4y-4 tại 3x+y=102; 3x-y=80
  ftai TL 3 | Tính nhanh giá trị biểu thức: B=35^2+40.35+20^2-45^2
  z9n0 TL 3 | Tính nhanh giá trị biểu thức sau: A=x(x-y)^2-y(x-y)^2+xy^2-x^2y với x-y=5; xy=4
  5ovu TL 2 | Tính nhanh giá trị biểu thức sau: B=65^2-35^2+83^2-17^2
  e9se NLC 2 | Giá trị của biểu thức D=x^3-x^2y-xy^2+y^3 khi x=y là:
  hlx3 NLC 2 | Giá trị của biểu thức 40^2+25^2-35^2+80.25 là:
  e6l9 TL 2 | Tính nhanh giá trị biểu thức sau: B=x^3-x^2y-xy^2+y^3 với x+y=100; x-y=20
  jkkn TL 3 | Tính nhanh giá trị biểu thức: A=t(10-4t)-t^2(2t-5)-2t+5 tại t=\frac{5}{2}

### [29] Bài 4. Phân tích đa thức thành nhân tử | Phương pháp thêm bớt cùng 1 hạng tử (0)
    yêu cầu: Thực hiện được việc phân tích đa thức thành nhân tử bằng phương pháp thêm và bớt cùng một hạng tử thích hợp.

### [30] Bài 4. Phân tích đa thức thành nhân tử | Phối hợp nhiều phương pháp (9)
    yêu cầu: Thực hiện được việc phân tích đa thức thành nhân tử bằng cách phối hợp nhiều phương pháp khác nhau.
  orbb TL 3 | Phân tích đa thức sau thành nhân tử: a) 3x + x^2 - 3y - y^2 b) x^2 - 12xy + 36y^2 - 49
  db8b TL 3 | Phân tích đa thức sau thành nhân tử: A=a(b^2+c^2)+b(a^2+c^2)+c(a^2+b^2)+2abc
  1txz TL 4 | Phân tích đa thức sau thành nhân tử: P=bc(a+d)(b-c)-ac(b+d)(a-c)+ab(c+d)(a-b)
  byyr NLC 3 | Phân tích đa thức a^3-a^2x-ay^2+xy^2 thành nhân tử ta được:
  equr TL 3 | Phân tích đa thức sau thành nhân tử: x^3-x+y^3-y+2x^2y+2xy^2
  tm1l TL 4 | Phân tích đa thức sau thành nhân tử: a^3(b^2-c^2)+b^3(c^2-a^2)+c^3(a^2-b^2)
  hbsb TL 4 | Phân tích đa thức sau thành nhân tử: a^2(b-c)+b^2(c-a)+c^2(a-b)
  ijlc TL 4 | Từ một sợi dây có độ dài 200 cm, Hùng cắt ra thành hai đoạn dây, một đoạn lớn, một đoạn nhỏ, mỗi đoạn có độ dà
  563h TL 3 | Một thửa ruộng hình chữ nhật có chiều dài bằng 20 m, chiều rộng bằng \frac{1}{2} chiều dài. a) Tính chiều rộng

### [31] Bài 4. Phân tích đa thức thành nhân tử | Phương pháp dùng hằng đẳng thức (9)
    yêu cầu: Thực hiện được việc phân tích đa thức thành nhân tử bằng cách áp dụng trực tiếp các hằng đẳng thức đáng nhớ.
  kjrf TL 2 | Phân tích đa thức sau thành nhân tử: x^2-12xy+36y^2-49
  0plf NLC 2 | Cho 8x^3-64=(2x-4)(...). Biểu thức thích hợp điền vào dấu … là:
  zab5 NLC 2 | Phân tích (5x-4)^2-49x^2 bằng phương pháp dùng hằng đẳng thức ta được:
  qg53 NLC 3 | Cho (x+y)^3-(x-y)^3=A.y(Bx^2+Cy^2), biết A,B,C là các số nguyên tố (dương). Khi đó A+B+C bằng:
  a9p7 TL 3 | Phân tích đa thức sau thành nhân tử: 4b^2c^2-(c^2+b^2-a^2)^2
  boxe TL 2 | Phân tích đa thức sau thành nhân tử: \frac{x^3}{8}+8y^3
  r9fa NLC 1 | Đa thức x^2-y^2 phân tích thành nhân tử ta được:
  fgmy TL 3 | Bác An gửi tiết kiệm với số tiền 400 triệu đồng vào một ngân hàng, kỳ hạn 12 tháng và theo thể thức lãi kép ng
  fyq9 TL 3 | Cho một hình vuông lớn có cạnh (x+y) được chia thành 4 phần gồm: một hình vuông có cạnh x, hai hình chữ nhật c

### [32] Bài 4. Phân tích đa thức thành nhân tử | Phương pháp đặt nhân tử chung (16)
    yêu cầu: Thực hiện được việc phân tích một đa thức thành nhân tử bằng phương pháp đặt nhân tử chung.
  g2vy NLC 2 | Đa thức 14x^2y-21xy^3+28xy phân tích thành nhân tử ta được:
  u036 TL 2 | Phân tích đa thức sau thành nhân tử: \frac{2}{5}xy(y-1)-\frac{2}{5}y(y-1)
  n5lx TL 2 | Phân tích đa thức sau thành nhân tử: 2(x-1)^3-5(x-1)^2-(x-1)
  9c4w TL 2 | Phân tích đa thức sau thành nhân tử: 5(x+3y)-xy(x+3y)
  tz9t TL 2 | Phân tích đa thức sau thành nhân tử: 12x^3y^2z-6x^2y^3z+3x^2y^2
  y37v TL 2 | Phân tích đa thức sau thành nhân tử: 5a(x-y)+2b(y-x)
  1glo TL 2 | Phân tích đa thức sau thành nhân tử: 14x^2y^2+8x^2y-2xy^2
  gjbr NLC 1 | Phân tích đa thức x^3+12x thành nhân tử ta được:
  ptid NLC 3 | Chọn đẳng thức Sai:
  lcy5 TL 2 | Phân tích đa thức sau thành nhân tử: x^2y+x^3y-xy
  p3ak TL 2 | Phân tích đa thức sau thành nhân tử: \frac{x^3}{3}+\frac{x^6}{9}-\frac{x^9}{27}
  i4zw TL 2 | Phân tích đa thức sau thành nhân tử (đặt dấu "–" để tạo thành nhân tử chung): y(x-2)+3(2-x)
  eyty NLC 2 | Phân tích đa thức 7x^2y^2-21xy^2z+7xyz+14xy ta được:
  fpwm TL 2 | Phân tích đa thức sau thành nhân tử: (6x+3)-(2x-5)(2x+1)
  3hpq NLC 1 | Phân tích đa thức 3x+6 thành nhân tử ta được:
  8yo3 NLC 1 | Đa thức 12x-x^2 phân tích thành nhân tử ta được:

### [33] Bài 4. Phân tích đa thức thành nhân tử | Chứng minh biểu thức chia hết cho một số (1)
    yêu cầu: Vận dụng được phương pháp phân tích đa thức thành nhân tử để chứng minh một biểu thức chia hết cho một số nguyên.
  hnys TL 4 | Cho biểu thức A=n^2(n-1)+2n(1-n), trong đó n\in{Z}. Chứng minh rằng A  \vdots  6.

### [34] Bài 4. Phân tích đa thức thành nhân tử | Phương pháp nhóm hạng tử (23)
    yêu cầu: Thực hiện được việc phân tích đa thức thành nhân tử bằng phương pháp nhóm các hạng tử một cách thích hợp.
  f34b NLC 2 | Để phân tích đa thức x^2-6x-y^2+9 thành nhân tử ta sẽ nhóm (x^2-6x+...)-.... Các biểu thức trong dấu … lần lượ
  rr69 NLC 2 | Phân tích đa thức x^2-2x-4y^2-4y thành nhân tử ta có thể nhóm hạng tử:
  o0ff NLC 1 | Phân tích đa thức x^2-y^2+4x+4 thành nhân tử ta có thể nhóm các hạng tử:
  btae NLC 1 | Cho x^2+2x+x+2=(x+1)(........). Biểu thức thích hợp điền vào dấu … là:
  t8a0 NLC 2 | Đa thức x^2y+xy^2-x-y được phân tích thành nhân tử là:
  oq4s TL 3 | Phân tích đa thức sau thành nhân tử: ab(x^2+y^2)+xy(a^2+b^2)
  m57t TL 3 | Phân tích đa thức sau thành nhân tử: (xy-3ab)^2+(3ay+bx)^2
  53qr TL 2 | Phân tích đa thức sau thành nhân tử: 3x+3y-x^2-2xy-y^2
  fv0p TL 3 | Phân tích đa thức sau thành nhân tử: 5x^2+5y^2-x^2z+2xyz-y^2z-10xy
  0cvd TL 3 | Phân tích đa thức sau thành nhân tử: x^2-4xy+4y^2-z^2+4zt-4t^2
  87w3 NLC 2 | Đa thức 5x^2-4x+10xy-8y phân tích thành nhân tử ta được:
  pzho NLC 2 | Phân tích đa thức x(x-2y)+y(2y-x) thành nhân tử ta được:
  kszb NLC 2 | Đa thức 3x^2-3xy-5x+5y phân tích thành nhân tử ta được:
  07mw NLC 2 | Phân tích đa thức 4xy-4xz-y+z thành nhân tử ta được:
  86fl NLC 2 | Cho 3a^2(x+1)-4bx-4b=(x+1)(...). Điền biểu thức thích hợp vào dấu …
  u92c NLC 2 | Phân tích đa thức 3x(x-3y)+9y(3y-x) thành nhân tử ta được:
  nqrh NLC 2 | Phân tích đa thức x^3-2x^2+7x-14 ta được kết quả là:
  3vd9 NLC 2 | Đa thức x^2-2x+1-y^2 được phân tích thành nhân tử là:
  vfkb NLC 1 | Phân tích đa thức ax+ay-x-y thành nhân tử, ta có thể nhóm hạng tử như sau:
  epiy TL 2 | Phân tích đa thức sau thành nhân tử: 5x^2-5xy+7y-7x
  8u8h NLC 2 | Phân tích đa thức x^2+y^2-3x-3y+2xy ta được kết quả là:
  p0aj TL 2 | Phân tích đa thức sau thành nhân tử: 5x^3+10xy-5x^2y-10x^2
  drrj NLC 2 | Nhân tử chung của biểu thức 5x^2(5-2x)+4x-10 có thể là:

### [35] Bài 4. Phân tích đa thức thành nhân tử | Tìm x (24)
    yêu cầu: Vận dụng được phương pháp phân tích đa thức thành nhân tử để tìm biến số trong một đẳng thức cho trước.
  toiu NLC 3 | Tìm x, biết x^3+27+(x+3)(x-9)=0.
  j08u TL 3 | Tìm x, biết: (x+3)(x^2-3x+5)=x^2+3x
  nzy9 NLC 2 | Giá trị của x thoả mãn x^2-10x+9=0 là:
  t700 NLC 3 | Cho x_1 và x_2 là hai giá trị thoả mãn x(5-10x)-3(10x-5)=0. Khi đó x_1+x_2 bằng:
  5fo2 TL 3 | Tìm x, biết: (x+2)(3-2x)=x^2+4x+4
  pv6k TL 2 | Tìm x, biết: x(2x-1)-3(1-2x)=0
  3n15 NLC 2 | Biết 5x(x-2)-(2-x)=0. Giá trị của x là:
  4fz6 TL 2 | Tìm x, biết: x^2-x=0
  88qc TL 2 | Tìm x, biết: 2x(x+1)-3(x+1)=0
  e7i7 TL 3 | Tìm x, biết: 2(x-4)^2=4-x
  ywv9 TL 3 | Tìm x, biết: (x^2-11)(x-2)+2x=4
  tgd3 TL 3 | Tìm x, biết: (2x+1)^2-(3x+2)^2=0
  yc0n TL 3 | Tìm x, biết: (x^3+8)-(x+2)(x+4)=0
  u7ai TL 2 | Tìm x biết: 9x^2-(2x-1)^2=0
  gmjd TL 3 | Tìm x biết: (x^3-1)-(x-1)(x^2-5)=0
  f6oe TL 1 | Tìm x biết: x^2+4x=0
  upzo TL 2 | Tìm x, biết: x(3x-6)-5(6-3x)=0
  wegv TL 2 | Tìm x, biết: x^2(x+5)-9x=45
  s0im TL 3 | Tìm x, biết: x^2(x+1)-x(x+1)+x(x-1)=0
  mrab TL 2 | Tìm x, biết: x^2+2x=15
  1qon TL 2 | Tìm x, biết: 3x^2-6x=0
  57b6 TL 3 | Tìm x, biết: x^3-4x+x-2=0
  jshd TL 2 | Tìm x, biết: 9(5-x)+x^2-10x=-25
  mqwz TL 2 | Tìm x biết: 4x(x+3)-x-3=0

### [36] Bài 4. Phân tích đa thức thành nhân tử | Phương pháp đổi biến (3)
    yêu cầu: Thực hiện được việc phân tích đa thức thành nhân tử bằng phương pháp đặt ẩn phụ hoặc đổi biến số.
  z7b7 TL 3 | Phân tích đa thức sau thành nhân tử: (a+b+c)^2+(a-b+c)^2-4b^2
  e2az TL 4 | Phân tích đa thức sau thành nhân tử: x(x+4)(x+6)(x+10)+128
  ni9l TL 4 | Phân tích đa thức sau thành nhân tử: M=(4x+1)(12x-1)(3x+2)(x+1)-4

### [37] Bài 4. Phân tích đa thức thành nhân tử | Phương pháp tách 1 hạng tử thành nhiều hạng tử (2)
    yêu cầu: Thực hiện được việc phân tích đa thức bậc hai thành nhân tử bằng phương pháp tách một hạng tử thành nhiều hạng tử.
  zb6v TL 2 | Phân tích đa thức sau thành nhân tử: 7x^2+50x+7
  7r5e NLC 1 | Phân tích đa thức x^2+5x+6 ta được:

### [38] Bài 5. Ôn tập chương | Bài tập tổng hợp chương 2 (0)
    yêu cầu: Vận dụng tổng hợp kiến thức của chương 2 để giải các bài toán ôn tập, kiểm tra cuối chương.
